block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Kakwan,fPJnAq2xoTU,p,2019-04-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,0.23337363966142685,JSY,2020.0
Gagiri,S842tHqLUI1,p,2019-04-01,Aligarh,frD2HOp3wAs,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.4590795737927907,JSY,2020.0
Bulandshahar DHQ,JZJD7vQ6YIE,p,2019-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,JSY,% JSY Incentive,indicator_36,0.3892215568862276,JSY,2020.0
Chargawan,X2K6bByVLd2,p,2019-04-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.4014625228519196,JSY,2020.0
Bhadurpur,Rhej6WFZaSI,p,2019-04-01,Basti,J1P16zQEOUT,Basti Division,JSY,% JSY Incentive,indicator_36,0.4673642252117589,JSY,2020.0
Bijoli,Pf9sH55x9lG,p,2019-04-01,Aligarh,frD2HOp3wAs,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.3190978886756238,JSY,2020.0
Varanasi Chiraigoan,pzUMM4ITvbI,p,2019-04-01,Varanasi,LeuBT7KfuuA,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Bijnor Chandok,shhTmT0DeTX,p,2019-04-01,Bijnor,uCYjHW7FuGG,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.045112781954887216,JSY,2020.0
Mirzapur DHQ,WxMksp7j6w7,p,2019-04-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.2616675890057185,JSY,2020.0
Varanasi Harraua,YAHDIDrUMwP,p,2019-04-01,Varanasi,LeuBT7KfuuA,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.0,JSY,2020.0
Phulpur,uiUVlKvhhxF,p,2019-04-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.4831013916500994,JSY,2020.0
Bahraich DHQ,sGS6zRDhdsB,p,2019-04-01,Bahraich,iE0E3nLioFr,Gonda Division,JSY,% JSY Incentive,indicator_36,0.2345467745281062,JSY,2020.0
Kasganj DHQ,UuNK1H4MurF,p,2019-04-01,Kasganj,hITp09XOBLZ,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.34385964912280703,JSY,2020.0
Fatehganj(West),KRQvi7JBiuf,p,2019-04-01,Bareilly,vVqY3DPcpHf,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.25681898689337584,JSY,2020.0
Fatehpur Gpalganj,QiCjYBLbYGE,p,2019-04-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.15782747603833866,JSY,2020.0
Kabari,GfFQEUX1ZYy,p,2019-04-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.4112490869247626,JSY,2020.0
