subindicator_id,type,period,indicator_type,indicator_name
ixBYYYjxXPP,Numerator,monthly,indicator,% of beneficiaries received JSY incentive
aRueVYr35yM.Ti9FJqkSK6J,Denominator,monthly,indicator,% of pregnant women delivered in institution against estimated delivery
,,,,
,,,,
,,,,
