block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Azamgarh Azmatgarh,QlDZDhfK4iZ,p,2019-10-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.5340314136125655,3,JSY,2020
Sohawal,CUsMlPeoyMI,p,2019-10-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.6973451327433628,3,JSY,2020
Ghaziabad Bhojpur,r0L9AlrGA7C,p,2019-10-01,Ghaziabad,M5NHlfAaKYI,Meerut Division,JSY,% JSY Incentive,indicator_36,0.38333333333333336,3,JSY,2020
Rae Bareli Maharajganj,NbdKCUBY7yL,p,2019-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.9751243781094528,3,JSY,2020
Nereani,PPxFR8laHqe,p,2019-10-01,Banda,DggJGxqbWHn,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,1.06312292358804,3,JSY,2020
Deoria Bhttni,AzV6zQXaRba,p,2019-10-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,1.1224018475750577,3,JSY,2020
Mathura DHQ,K2r1bjs4mb5,p,2019-10-01,Mathura,KP2BUB1npih,Agra Division,JSY,% JSY Incentive,indicator_36,0.4433399602385686,3,JSY,2020
Etah DHQ,MoUVR7OhsJp,p,2019-10-01,Etah,ZLcx4iOVyN5,Alligarh Division,JSY,% JSY Incentive,indicator_36,1.0240137221269296,3,JSY,2020
Unnav C.Karen,miCbY8KENnd,p,2019-10-01,Unnav,aT03mfdlNiF,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.9886685552407932,3,JSY,2020
Kushinagar Sukhroli,SgYEydzGGbJ,p,2019-10-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Haidergarh,rFyFe7T2XXz,p,2019-10-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,JSY,% JSY Incentive,indicator_36,1.0097560975609756,3,JSY,2020
Mirzapur Shahjahanpur,Gj3mY1laAQs,p,2019-10-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.8673835125448028,3,JSY,2020
Bahraich DHQ,sGS6zRDhdsB,p,2019-10-01,Bahraich,iE0E3nLioFr,Gonda Division,JSY,% JSY Incentive,indicator_36,0.4576653306613226,3,JSY,2020
Jalaun Kuthound,V1ktVWnBTTW,p,2019-10-01,Jalaun,NL5xiiHZQSC,Jhansi Division,JSY,% JSY Incentive,indicator_36,1.4829268292682931,3,JSY,2020
Bahjoi,uqiwsVkCjJB,p,2019-10-01,Sambhal,YzHpzrN0eLv,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.8681818181818182,3,JSY,2020
Baraun,XIqs5K6oAlM,p,2019-10-01,Farrukhabad,uEEwlAGZXWW,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,1.0363636363636364,3,JSY,2020
Agra Kahiragarh,hO5EeDRnO8S,p,2019-10-01,Agra,N5WWbRtsjWp,Agra Division,JSY,% JSY Incentive,indicator_36,0.8210784313725491,3,JSY,2020
Block Amroha,o9uEgq78lMK,p,2019-10-01,Amroha,hgquAmZaNBu,Moradabad Division,JSY,% JSY Incentive,indicator_36,0.38613861386138615,3,JSY,2020
Fatehpur Gpalganj,QiCjYBLbYGE,p,2019-10-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.3476821192052981,3,JSY,2020
Jalaun  DHQ,L75X9VvSfGc,p,2019-10-01,Jalaun,NL5xiiHZQSC,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.3,3,JSY,2020
Mahmudabad Sitapur,gCv411YjGXv,p,2019-10-01,Sitapur,XxaOowFtkiJ,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.5790754257907542,3,JSY,2020
Jalsar,MGuYssW76Oy,p,2019-10-01,Etah,ZLcx4iOVyN5,Alligarh Division,JSY,% JSY Incentive,indicator_36,0.5543933054393305,3,JSY,2020
Jhansi DHQ,o2TR0og834Q,p,2019-10-01,Jhansi,Mq751wBMqGF,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.31122994652406416,3,JSY,2020
Jmunaha,lbYsetq7442,p,2019-10-01,Shrawasti,oyTwneTbWDx,Gonda Division,JSY,% JSY Incentive,indicator_36,0.25961538461538464,3,JSY,2020
Wazirganj,xct9yyij86y,p,2019-10-01,Budaun,eA37kyBRRuZ,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.8205128205128205,3,JSY,2020
Kaneli,JyfWW9uiTL5,p,2019-10-01,Kaushambi,PAj0oVY0Dxu,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.9515669515669516,3,JSY,2020
Khuthan,yQrRCA2ngHE,p,2019-10-01,Jaunpur,gmw76vAUMqz,Varanasi Division,JSY,% JSY Incentive,indicator_36,1.1,3,JSY,2020
Ujhani,EjPcZNiYzP2,p,2019-10-01,Budaun,eA37kyBRRuZ,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.3428571428571429,3,JSY,2020
Parasrampur,nE41ZrKaU9G,p,2019-10-01,Basti,J1P16zQEOUT,Basti Division,JSY,% JSY Incentive,indicator_36,0.4960159362549801,3,JSY,2020
Puranpur,WQzG2MmpgAg,p,2019-10-01,Pilibhit,c96jwckSd6j,Bareilly Division,JSY,% JSY Incentive,indicator_36,0.5577689243027888,3,JSY,2020
Piprauli,cDxHC5dDWRe,p,2019-10-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.4847560975609756,3,JSY,2020
Belghat,l4r3ouFQPZS,p,2019-10-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.8959390862944162,3,JSY,2020
Billahaur,oiZGLrWMq7u,p,2019-10-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,1.1304347826086956,3,JSY,2020
Mohanlalganj,VKvevXLweem,p,2019-10-01,Lucknow,MfHac5N78aK,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.9074733096085408,3,JSY,2020
Deoria Bethalpur,LPTjBQ9rRWx,p,2019-10-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Unnav Miyaganj,odvvm2fnyz9,p,2019-10-01,Unnav,aT03mfdlNiF,Lucknow Division,JSY,% JSY Incentive,indicator_36,1.0,3,JSY,2020
Mathura Baldav,j3WnhnsAIht,p,2019-10-01,Mathura,KP2BUB1npih,Agra Division,JSY,% JSY Incentive,indicator_36,0.2702702702702703,3,JSY,2020
Bamaur,yfN8RlEk6Eo,p,2019-10-01,Jhansi,Mq751wBMqGF,Jhansi Division,JSY,% JSY Incentive,indicator_36,0.9032258064516128,3,JSY,2020
Jalalabad Kannauj,OWrTCTjWjzI,p,2019-10-01,Kannauj,IhQbDYRiF8w,Kanpur Nagar Division,JSY,% JSY Incentive,indicator_36,1.1919191919191918,3,JSY,2020
Meerut Rohta,nSWcYd5JkhS,p,2019-10-01,Meerut,v8YGmR7nOdj,Meerut Division,JSY,% JSY Incentive,indicator_36,0.5459459459459459,3,JSY,2020
Bansgaon,oqobaBlkco3,p,2019-10-01,Gorakhpur,vR85cHdsw1w,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,1.0,3,JSY,2020
Azamgarh Mehnagar,KjTOOkkFXwn,p,2019-10-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Rae Bareli Rahi,smTNQ0RRpOL,p,2019-10-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,JSY,% JSY Incentive,indicator_36,1.0025445292620865,3,JSY,2020
Uttroula,uReShtGh7bZ,p,2019-10-01,Balrampur,uS0pNSxN3sS,Gonda Division,JSY,% JSY Incentive,indicator_36,0.2594681708299758,3,JSY,2020
Unnav Bangarmau,BGRBILNZiPW,p,2019-10-01,Unnav,aT03mfdlNiF,Lucknow Division,JSY,% JSY Incentive,indicator_36,0.8518518518518519,3,JSY,2020
Firozabad Shikohabad,rgR8kKaylIH,p,2019-10-01,Firozabad,eJTsuE56XDF,Agra Division,JSY,% JSY Incentive,indicator_36,0.0,3,JSY,2020
Jaitpur,HuW3JM0nGTz,p,2019-10-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,0.9219858156028368,3,JSY,2020
Suratganj,HLaiapcp8KF,p,2019-10-01,Barabanki,tzH6nJu9SwS,Ayodhya Division,JSY,% JSY Incentive,indicator_36,0.3338368580060423,3,JSY,2020
Ghazipur Gondaur,mhI69xut9he,p,2019-10-01,Ghazipur,dScWdMRN8PL,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.8671328671328671,3,JSY,2020
Bisanda,emjMgvubuGe,p,2019-10-01,Banda,DggJGxqbWHn,Chitrakoot Division,JSY,% JSY Incentive,indicator_36,1.0627177700348431,3,JSY,2020
Deoria Selampur,YRYbXgGEgwG,p,2019-10-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.5622489959839357,3,JSY,2020
Varanasi Cholapur,HonPmXiTJw7,p,2019-10-01,Varanasi,LeuBT7KfuuA,Varanasi Division,JSY,% JSY Incentive,indicator_36,0.2946745562130177,3,JSY,2020
Firozabad Jasrana,C4DRedrM3Pb,p,2019-10-01,Firozabad,eJTsuE56XDF,Agra Division,JSY,% JSY Incentive,indicator_36,1.0996563573883162,3,JSY,2020
Muzaffarnagar Badhara,hiCT4rPYCVr,p,2019-10-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,JSY,% JSY Incentive,indicator_36,0.8372093023255814,3,JSY,2020
Birdpur,N5oPV77d3Vf,p,2019-10-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,JSY,% JSY Incentive,indicator_36,0.7707423580786026,3,JSY,2020
Dilhari,yslHqhvvXn0,p,2019-10-01,Moradabad,YQNQoPjAIpV,Moradabad Division,JSY,% JSY Incentive,indicator_36,1.0,3,JSY,2020
Marihan Patehara,sh5GrKleZLD,p,2019-10-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,JSY,% JSY Incentive,indicator_36,0.6976744186046512,3,JSY,2020
Deoria Bhaluni,rMbW2gza9HD,p,2019-10-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,JSY,% JSY Incentive,indicator_36,0.7026515151515151,3,JSY,2020
SChandrika,ZFpgvZ5wO0j,p,2019-10-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,JSY,% JSY Incentive,indicator_36,0.7264957264957265,3,JSY,2020
