block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Dahagawan,yxi8x9cQDKH,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,44.4285474391267,,coverage,2020
Dahagawan,yxi8x9cQDKH,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,44.24065532814451,,coverage,2020
Selarpur,zT39srICHbl,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,55.6601029801841,,coverage,2020
Selarpur,zT39srICHbl,p,2019-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,49.323745246129796,,coverage,2020
Rudauli,AAOPzLEjW4T,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,39.0766871165644,,coverage,2020
Rudauli,AAOPzLEjW4T,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,5.67256388654871,,coverage,2020
Sohawal,CUsMlPeoyMI,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,41.6079375622716,,coverage,2020
Sohawal,CUsMlPeoyMI,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,6.9095262527792,,coverage,2020
Poora Bazar,JOYvKXzcb8E,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,41.784355771023606,,coverage,2020
Poora Bazar,JOYvKXzcb8E,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,7.758786249279798,,coverage,2020
Ayodhya,Oh9BFAFKGE5,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,0.0,,coverage,2020
Ayodhya,Oh9BFAFKGE5,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,0.0,,coverage,2020
Mawai,QSXk2hR3eYG,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,41.892491467576704,,coverage,2020
Mawai,QSXk2hR3eYG,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,7.1014238003164,,coverage,2020
Harington Ganj,XEfvLa6Zzxn,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,37.4021884769986,,coverage,2020
Harington Ganj,XEfvLa6Zzxn,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,9.29376581550493,,coverage,2020
Maya Bazar,a2rjHSkns9X,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,45.4211935730681,,coverage,2020
Maya Bazar,a2rjHSkns9X,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,7.960591133004921,,coverage,2020
Masaudha,aAl7bU1AYg2,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,30.3837308955863,,coverage,2020
Masaudha,aAl7bU1AYg2,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,5.94379873473591,,coverage,2020
Ayodhya DHQ,bMK9VNDswXt,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,18.213306681896,,coverage,2020
Ayodhya DHQ,bMK9VNDswXt,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,5.94117647058823,,coverage,2020
Amaniganj,pYWjwOoijbJ,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,36.5038321517532,,coverage,2020
Amaniganj,pYWjwOoijbJ,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,7.97315966054864,,coverage,2020
Bikapur,pw5oJhc8fpc,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,50.0562310030395,,coverage,2020
Bikapur,pw5oJhc8fpc,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,8.43247756209559,,coverage,2020
Milkipur,qQSBi5m4QpM,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,39.732876712328704,,coverage,2020
Milkipur,qQSBi5m4QpM,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,7.59969902182091,,coverage,2020
Tarun,t25KkXmkJth,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,33.9960380348652,,coverage,2020
Tarun,t25KkXmkJth,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,6.593765301126161,,coverage,2020
Baskhari,ABuWCL4zW6t,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,47.233072218049,,coverage,2020
Baskhari,ABuWCL4zW6t,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,16.9623121131741,,coverage,2020
Akaberpur,HHlxYUknESU,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,69.07028159180821,,coverage,2020
Akaberpur,HHlxYUknESU,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,18.3934563758389,,coverage,2020
Bhiyaon,KZ9A7NuGOta,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,55.0829383886255,,coverage,2020
Bhiyaon,KZ9A7NuGOta,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,23.409853569249506,,coverage,2020
Ramnagar,M1F33pLSfxi,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,delivery_care,% of pregnant women delivered in institution against estimated delivery,indicator_2,51.3467492260061,,coverage,2020
Ramnagar,M1F33pLSfxi,p,2019-04-01,Ambedkar Nagar,jM27ji8tyrM,Ayodhya Division,immunization,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,24.4698660714285,,coverage,2020
