subindicator_id,type,period,indicator_type
ixBYYYjxXPP,Numerator,monthly,indicator
aRueVYr35yM.Ti9FJqkSK6J,Denominator,monthly,indicator
dwGorjVGkD9,Numerator,monthly,indicator
m7ggqyMXhyL,Numerator,monthly,indicator
