,date,district,district_id,indicator_id,perc_point
76,202503,Chandauli,ClbehnmwSec,indicator_11,100.0
77,202503,Chandauli,ClbehnmwSec,indicator_12,5821.955215729105
78,202503,Banda,DggJGxqbWHn,indicator_1,100.0
79,202503,Banda,DggJGxqbWHn,indicator_2,55.34826629957041
80,202503,Banda,DggJGxqbWHn,indicator_31,0.5388760585065435
81,202503,Banda,DggJGxqbWHn,indicator_32,23.961661341853034
82,202503,Banda,DggJGxqbWHn,indicator_4,16.048502139800284
83,202503,Banda,DggJGxqbWHn,indicator_5,88.0527817403709
84,202503,Banda,DggJGxqbWHn,indicator_6,1.5058898439987265
85,202503,Banda,DggJGxqbWHn,indicator_7,94.70302410311528
86,202503,Banda,DggJGxqbWHn,indicator_8,0.9821268670482104
87,202503,Banda,DggJGxqbWHn,indicator_9,6.582714126810586
88,202503,Banda,DggJGxqbWHn,indicator_10,97.08520179372198
89,202503,Banda,DggJGxqbWHn,indicator_11,100.0
90,202503,Banda,DggJGxqbWHn,indicator_12,6154.324828873677
91,202503,Saharanpur,FKYZ3JbWq84,indicator_1,100.0
92,202503,Saharanpur,FKYZ3JbWq84,indicator_2,65.2869910691359
93,202503,Saharanpur,FKYZ3JbWq84,indicator_31,3.339787028073572
94,202503,Saharanpur,FKYZ3JbWq84,indicator_32,53.60169491525424
95,202503,Saharanpur,FKYZ3JbWq84,indicator_4,1.2273413897280967
96,202503,Saharanpur,FKYZ3JbWq84,indicator_5,96.09138972809667
97,202503,Saharanpur,FKYZ3JbWq84,indicator_6,1.128448194141625
98,202503,Saharanpur,FKYZ3JbWq84,indicator_7,100.0
99,202503,Saharanpur,FKYZ3JbWq84,indicator_8,0.6449739499492555
100,202503,Saharanpur,FKYZ3JbWq84,indicator_9,11.44622567441914
101,202503,Saharanpur,FKYZ3JbWq84,indicator_10,100.0
102,202503,Saharanpur,FKYZ3JbWq84,indicator_11,100.0
103,202503,Saharanpur,FKYZ3JbWq84,indicator_12,7078.947368421052
104,202503,Shahjahanpur,GaiLSoQq1ue,indicator_1,100.0
105,202503,Shahjahanpur,GaiLSoQq1ue,indicator_2,58.43648290576239
106,202503,Shahjahanpur,GaiLSoQq1ue,indicator_31,1.0993485342019544
107,202503,Shahjahanpur,GaiLSoQq1ue,indicator_32,20.87114337568058
108,202503,Shahjahanpur,GaiLSoQq1ue,indicator_4,13.242009132420092
109,202503,Shahjahanpur,GaiLSoQq1ue,indicator_5,100.0
110,202503,Shahjahanpur,GaiLSoQq1ue,indicator_6,1.0672572560904534
111,202503,Shahjahanpur,GaiLSoQq1ue,indicator_7,100.0
112,202503,Shahjahanpur,GaiLSoQq1ue,indicator_8,0.5340663978944489
113,202503,Shahjahanpur,GaiLSoQq1ue,indicator_9,8.319262234848456
114,202503,Shahjahanpur,GaiLSoQq1ue,indicator_10,100.0
115,202503,Shahjahanpur,GaiLSoQq1ue,indicator_11,100.0
116,202503,Shahjahanpur,GaiLSoQq1ue,indicator_12,1469.7508896797137
117,202503,Bagpat,HJIS3IrQ0Nj,indicator_1,100.0
118,202503,Bagpat,HJIS3IrQ0Nj,indicator_2,77.9489509844959
119,202503,Bagpat,HJIS3IrQ0Nj,indicator_31,1.0204081632653061
120,202503,Bagpat,HJIS3IrQ0Nj,indicator_32,23.11320754716981
121,202503,Bagpat,HJIS3IrQ0Nj,indicator_4,2.194586686174104
122,202503,Bagpat,HJIS3IrQ0Nj,indicator_5,100.0
123,202503,Bagpat,HJIS3IrQ0Nj,indicator_6,0.9605897363198186
124,202503,Bagpat,HJIS3IrQ0Nj,indicator_7,100.0
125,202503,Bagpat,HJIS3IrQ0Nj,indicator_8,0.7634596608016762
126,202503,Bagpat,HJIS3IrQ0Nj,indicator_9,13.654743487459276
127,202503,Bagpat,HJIS3IrQ0Nj,indicator_10,100.0
128,202503,Bagpat,HJIS3IrQ0Nj,indicator_11,100.0
129,202503,Bagpat,HJIS3IrQ0Nj,indicator_12,5624.321389793704
