,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index,domain_index
23,QglkJx8TDdn,26.69177855756102,202503,indicator_8,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.14446774385531094,0.5033436492266032,0.1507006070654745
24,QglkJx8TDdn,80.10977667727346,202503,indicator_9,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.1569334702756381,0.5033436492266032,0.1507006070654745
25,QglkJx8TDdn,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.5033436492266032,0.3804056289341828
26,F1Ddi7jawvX,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.6462442305317191,1.0
27,F1Ddi7jawvX,100.0,202503,indicator_2,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,quality,ante_natal,indicator_2,% of pregnant women tested for Hb for 4 or more times against estimated PW,p,1.0,0.7195152482714371,1.0
28,F1Ddi7jawvX,76.45176239079831,202503,indicator_3,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.7408508589891539,0.6462442305317191,0.9131078909002948
29,F1Ddi7jawvX,1.7177211565989121,202503,indicator_4,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,quality,delivery_care,indicator_4,Still birth ratio,n,0.9703079628645045,0.7195152482714371,0.9131078909002948
30,F1Ddi7jawvX,254.53980555555555,202503,indicator_13,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,availability,delivery_care,indicator_13,Est Delivery load as per available Delivery Point,n,0.9709027034959534,0.7754820823512695,0.9131078909002948
31,F1Ddi7jawvX,298.8075978260869,202503,indicator_14,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,availability,delivery_care,indicator_14,Est Delivery load as per available SBA trained staff Nurse / ANM,n,0.9703700382515672,0.7754820823512695,0.9131078909002948
32,F1Ddi7jawvX,100.0,202503,indicator_5,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.6462442305317191,1.0
