,district_id,perc_point,date,indicator_id
24,PAj0oVY0Dxu,71.71705333894415,202503,indicator_2
25,PeUY1vj02UQ,81.87721950099726,202503,indicator_2
26,Pm0jLk6EAiE,74.17412866559138,202503,indicator_2
27,QVMRMhzVrrS,58.02899641849915,202503,indicator_2
28,StsLkYw1G0m,69.28358770358034,202503,indicator_2
29,Tf9b9qcbghH,63.28732468071087,202503,indicator_2
30,UAicdMLyuk4,88.19334388823887,202503,indicator_2
31,VSI7HobT5qL,62.70516042709716,202503,indicator_2
32,XBLhrSWGytu,64.48480344401588,202503,indicator_2
33,XxaOowFtkiJ,70.00099515727965,202503,indicator_2
34,YQNQoPjAIpV,60.29975242514659,202503,indicator_2
35,YzHpzrN0eLv,74.5411420461343,202503,indicator_2
36,ZLcx4iOVyN5,64.8461691287886,202503,indicator_2
37,aT03mfdlNiF,62.94515064116777,202503,indicator_2
38,b4XkXzoGqFY,70.36433372644075,202503,indicator_2
39,bNmwkrQeP3e,96.9894430031313,202503,indicator_2
40,c96jwckSd6j,68.0230486096417,202503,indicator_2
41,cP0p8qfm3il,47.42613704158532,202503,indicator_2
42,d9ZuMopgX29,76.19197809987318,202503,indicator_2
43,dScWdMRN8PL,60.95368767429802,202503,indicator_2
44,eA37kyBRRuZ,67.43720961777177,202503,indicator_2
45,eJTsuE56XDF,63.74825262725019,202503,indicator_2
46,fagfcadhxej,60.102395362728004,202503,indicator_2
47,fe1yBApr2sl,62.72914887315469,202503,indicator_2
48,frD2HOp3wAs,83.4647709007158,202503,indicator_2
49,fz7bJo3egPX,68.62160398563746,202503,indicator_2
50,gmw76vAUMqz,57.71685307664707,202503,indicator_2
51,hITp09XOBLZ,69.20485327267805,202503,indicator_2
52,hgquAmZaNBu,76.24183111743547,202503,indicator_2
53,i2fSZZ3QAJJ,72.4768482978819,202503,indicator_2
54,iE0E3nLioFr,73.97379721827197,202503,indicator_2
55,ibLiLcaKzw2,68.7937987311519,202503,indicator_2
56,jM27ji8tyrM,77.63338341338672,202503,indicator_2
57,k3D0AumUCiC,63.237919439578924,202503,indicator_2
58,lLvTDpBDY8u,63.4507258294286,202503,indicator_2
59,m1IAjmqkoFC,100.0,202503,indicator_2
60,o4ZQTVcMI7U,74.07470279771448,202503,indicator_2
61,oNDvGBE5fLq,55.17739817464091,202503,indicator_2
62,ogBt4gWCiem,70.75282532227621,202503,indicator_2
63,oyTwneTbWDx,76.90154284537194,202503,indicator_2
64,sUQMxIc3yXj,55.79950070567753,202503,indicator_2
65,tXgaew1Pd2Y,74.37105508261867,202503,indicator_2
66,tzH6nJu9SwS,62.131893917345515,202503,indicator_2
67,uCYjHW7FuGG,74.74767981474167,202503,indicator_2
68,uEEwlAGZXWW,60.57789434931611,202503,indicator_2
69,uS0pNSxN3sS,62.468166609210485,202503,indicator_2
70,v8YGmR7nOdj,80.61101595245027,202503,indicator_2
71,vR85cHdsw1w,60.184028312441654,202503,indicator_2
72,vVqY3DPcpHf,64.78004583155669,202503,indicator_2
73,xUeHwd9FQkg,61.38914848089626,202503,indicator_2
74,y8WarEkWCul,65.65500717222646,202503,indicator_2
0,N5WWbRtsjWp,1.0707844905320107,202503,indicator_31
1,eJTsuE56XDF,1.6898608349900597,202503,indicator_31
2,XBLhrSWGytu,0.9212730318257957,202503,indicator_31
3,KP2BUB1npih,3.2516601786123194,202503,indicator_31
4,ibLiLcaKzw2,0.7851239669421488,202503,indicator_31
5,PAj0oVY0Dxu,2.7572815533980584,202503,indicator_31
6,fz7bJo3egPX,4.093097913322633,202503,indicator_31
7,tXgaew1Pd2Y,3.442513368983957,202503,indicator_31
8,jM27ji8tyrM,1.3513513513513513,202503,indicator_31
9,StsLkYw1G0m,3.2465859314609635,202503,indicator_31
