,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index
23,w2mC1IzGqJO,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Sadat,40,750.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
24,VivEa0lrJEt,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Ghazipur,41,755.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
25,PEDIETmpZdA,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Ghazipur (Urban),13,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
26,iMSgdsfQfK3,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Mardah,35,754.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
27,HU9Fxw66kJA,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Badlapur,41,730.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
28,UUtQaeoOtV1,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Baksha,38,732.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
29,K2hjVgS0LFm,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Dharampur,23,742.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
30,pb5hWAn45Rk,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Sikrara,34,740.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
31,bU9RuaPWXkH,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Karanjakala,45,741.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
32,FBVobg8QhyC,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Mahrajganj,32,731.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
33,nftiI8Ch1nw,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Sirkoni,34,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
34,qyXPcuW4JMr,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Suithakala,34,727.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0
