,date,district,district_id,subindicator_id,value
60,2017.0,Auraiya,Bd6E8zkVvVt,LQRtOv7IQrQ.Ti9FJqkSK6J,40644.0
61,2017.0,Auraiya,Bd6E8zkVvVt,t03VPkJ5UXd,68004.0
62,2017.0,Auraiya,Bd6E8zkVvVt,OVLPx9JL7u7.Ti9FJqkSK6J,483668.0
63,2017.0,Auraiya,Bd6E8zkVvVt,VJ2ccLnKQPv,17.2
64,2017.0,Auraiya,Bd6E8zkVvVt,Z0rXYfMQZST,0.1
65,2017.0,Auraiya,Bd6E8zkVvVt,yBfIJ7wBbcF,0.7
66,2017.0,Ayodhya,b4XkXzoGqFY,FRafAE8qFP6,78.6
67,2017.0,Ayodhya,b4XkXzoGqFY,ux6uaflq7xZ,62.1
68,2017.0,Ayodhya,b4XkXzoGqFY,cB6y5lovUZX.Ti9FJqkSK6J,67574.0
69,2017.0,Ayodhya,b4XkXzoGqFY,TmeumlBaObG,69420.0
70,2017.0,Ayodhya,b4XkXzoGqFY,GXgfTS67qxe.Ti9FJqkSK6J,26215.0
71,2017.0,Ayodhya,b4XkXzoGqFY,LQRtOv7IQrQ.Ti9FJqkSK6J,74332.0
72,2017.0,Ayodhya,b4XkXzoGqFY,t03VPkJ5UXd,121857.0
73,2017.0,Ayodhya,b4XkXzoGqFY,OVLPx9JL7u7.Ti9FJqkSK6J,852305.0
74,2017.0,Ayodhya,b4XkXzoGqFY,VJ2ccLnKQPv,14.2
75,2017.0,Ayodhya,b4XkXzoGqFY,Z0rXYfMQZST,0.0
76,2017.0,Ayodhya,b4XkXzoGqFY,yBfIJ7wBbcF,0.6
77,2017.0,Azamgarh,NjckKfm3g0k,TmeumlBaObG,127891.0
78,2017.0,Azamgarh,NjckKfm3g0k,FRafAE8qFP6,84.3
79,2017.0,Azamgarh,NjckKfm3g0k,ux6uaflq7xZ,50.5
80,2017.0,Azamgarh,NjckKfm3g0k,cB6y5lovUZX.Ti9FJqkSK6J,124822.0
81,2017.0,Azamgarh,NjckKfm3g0k,GXgfTS67qxe.Ti9FJqkSK6J,40633.0
