,block_id,date,indicator_id,perc_point,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
10,aDSCuqsggsN,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Qadar Chowk,32,183.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
11,i8KzqsutvXl,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Budaun (Urban),73,,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
12,n0U0QMMNJZe,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Mion,29,186.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
13,wQ2zvEh08Xs,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Jagat,36,181.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
14,xct9yyij86y,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Wazirganj,28,176.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
15,yxi8x9cQDKH,202503,indicator_1,100.0,eA37kyBRRuZ,Budaun,Dahgavan,35,179.0,Bareilly Division,150,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
16,AAOPzLEjW4T,202503,indicator_1,100.0,b4XkXzoGqFY,Ayodhya,Rudauli,46,494.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
17,CUsMlPeoyMI,202503,indicator_1,100.0,b4XkXzoGqFY,Ayodhya,Sohawal,36,495.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
18,JOYvKXzcb8E,202503,indicator_1,100.0,b4XkXzoGqFY,Ayodhya,Pura Bazar,34,502.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
19,QSXk2hR3eYG,202503,indicator_1,100.0,b4XkXzoGqFY,Ayodhya,Mavai,32,493.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
20,XEfvLa6Zzxn,202503,indicator_1,98.72194000782375,b4XkXzoGqFY,Ayodhya,Harringtonganj,28,499.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
21,a2rjHSkns9X,202503,indicator_1,100.0,b4XkXzoGqFY,Ayodhya,Maya Bazar,33,503.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
22,aAl7bU1AYg2,202503,indicator_1,100.0,b4XkXzoGqFY,Ayodhya,Masodha,36,496.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
23,bMK9VNDswXt,202503,indicator_1,81.20069663122422,b4XkXzoGqFY,Ayodhya,Ayodhya (Urban),80,,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
24,pYWjwOoijbJ,202503,indicator_1,86.70573525974153,b4XkXzoGqFY,Ayodhya,Amaniganj,33,497.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
25,pw5oJhc8fpc,202503,indicator_1,95.71750123039519,b4XkXzoGqFY,Ayodhya,Bikapur,30,500.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
26,qQSBi5m4QpM,202503,indicator_1,68.32614852788078,b4XkXzoGqFY,Ayodhya,Milkipur,33,498.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
27,t25KkXmkJth,202503,indicator_1,90.89972742493082,b4XkXzoGqFY,Ayodhya,Tarun,38,501.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
28,ABuWCL4zW6t,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Baskhari,38,505.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
29,HHlxYUknESU,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Akbarpur,61,512.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
30,KZ9A7NuGOta,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Bhiyaon,37,509.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
31,M1F33pLSfxi,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Ramnagar,42,506.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
32,RiDtZZsck6S,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Bhiti,31,510.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
33,UKkd5HV5vPT,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Katehari,41,511.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
34,c228prMIirC,202503,indicator_1,94.98413202508632,jM27ji8tyrM,Ambedkar Nagar,Tanda,56,504.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
35,dgOT0Nq7Zja,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Ambedkar Nagar  (Urban),3,,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
36,oB6hTaKvzgv,202503,indicator_1,100.0,jM27ji8tyrM,Ambedkar Nagar,Jahangirganj,43,507.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
37,zvRpdDBNAj1,202503,indicator_1,93.52149391568929,jM27ji8tyrM,Ambedkar Nagar,Jalalpur,62,508.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
38,AGFzimgfzIo,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Dostpur,25,533.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
39,BKeRkKcuOgW,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Jai Singh Pur,37,528.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
40,C2FFe2TBScZ,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Dubey Pur,44,527.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
41,L7J6pfX9JCH,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Sultanpur (Urban),18,,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
42,LNiRZH5vfaY,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Dhanpatganj,31,524.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
43,O0G9BMkbU7f,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Lambhua,34,531.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
44,Sz7oQppp6s9,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Kurwar,38,526.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
45,Tt3G0qCamwa,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Karaundi Kala,18,,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
46,VPN370bubCz,202503,indicator_1,100.0,o4ZQTVcMI7U,Sultanpur,Waldi Rai,35,516.0,Ayodhya Division,176,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
