,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type
10,SQuL6ZdC6LY,99.417508875508,202503,indicator_1,dScWdMRN8PL,Ghazipur,Varachakwar,38,758.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
11,KkUxdrYeeXC,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Bhadaura,43,763.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
12,zv6Gc6aGnXd,99.67487825338065,202503,indicator_1,dScWdMRN8PL,Ghazipur,Virno,31,753.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
13,mhI69xut9he,96.33630290950754,202503,indicator_1,dScWdMRN8PL,Ghazipur,Bhanwarkol,33,760.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
14,hepZfdzFqgL,99.89159882595696,202503,indicator_1,dScWdMRN8PL,Ghazipur,Zamania,48,761.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
15,OFvD8TPE8bU,94.51738120102873,202503,indicator_1,dScWdMRN8PL,Ghazipur,Saidpur,46,751.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
16,kcQKXLIXWNj,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Deokali,41,752.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
17,NbXqavwiDug,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Jakhania,42,748.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
18,J01CgvckM2C,99.24795927117356,202503,indicator_1,dScWdMRN8PL,Ghazipur,Karanda,28,756.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
19,oJK3Sqdic6n,96.23609793780608,202503,indicator_1,dScWdMRN8PL,Ghazipur,Kasimabad,43,757.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
20,APE5J6eTM3s,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Manihari,41,749.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
21,ISeQXIbXref,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Mohammadabad,44,759.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
22,y8eD89Cg95c,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Revatipur,35,762.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
23,w2mC1IzGqJO,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Sadat,40,750.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
24,VivEa0lrJEt,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Ghazipur,41,755.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
25,PEDIETmpZdA,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Ghazipur (Urban),13,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
26,iMSgdsfQfK3,100.0,202503,indicator_1,dScWdMRN8PL,Ghazipur,Mardah,35,754.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
27,HU9Fxw66kJA,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Badlapur,41,730.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
28,UUtQaeoOtV1,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Baksha,38,732.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
29,K2hjVgS0LFm,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Dharampur,23,742.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
30,pb5hWAn45Rk,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Sikrara,34,740.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
31,bU9RuaPWXkH,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Karanjakala,45,741.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
32,FBVobg8QhyC,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Mahrajganj,32,731.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
33,nftiI8Ch1nw,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Sirkoni,34,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
34,qyXPcuW4JMr,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Suithakala,34,727.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
35,dQvMLUi5rMw,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Sujanganj,37,733.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
36,Y1OSp1Ck66B,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Mogra Badshahpur,35,734.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
37,B9itA8m0ytx,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Mariahu,39,736.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
38,i81wO4m0rn2,97.37209564164297,202503,indicator_1,gmw76vAUMqz,Jaunpur,Jaunpur (Urban),60,,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
39,CqlV6Koe6vJ,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Barsathi,35,738.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
40,EcaeGqA47MY,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Shahganj,60,743.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
41,OTeT1SgY1F7,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Dobhi,30,747.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
42,OmRJBPDSih0,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Jalalpur,32,745.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
43,joT95cJHrTQ,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Kerakat,35,746.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
44,yQrRCA2ngHE,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Khuthan,38,729.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
45,p6cTEKZv0Bb,99.15007601602954,202503,indicator_1,gmw76vAUMqz,Jaunpur,Machhlishahr,42,735.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
46,sfvcD32u4kK,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Muftiganj,26,744.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
47,SiApLfkyuVz,98.93877222379443,202503,indicator_1,gmw76vAUMqz,Jaunpur,Ramnagar,39,737.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
48,MENKSvmhb6i,100.0,202503,indicator_1,gmw76vAUMqz,Jaunpur,Rampur,40,739.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
49,hiCT4rPYCVr,99.53489493000437,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Baghara,41,20.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
50,gh2z6ozRHvl,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Budhana,38,21.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
51,RAawnADvz9B,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Morna,42,23.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
52,XuOunfUuyUX,97.39900566146312,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Shahpur,33,22.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
53,IClJwvvGCfX,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Jansath,42,24.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
54,e6v2BeJjdF0,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Khatauli,49,25.0,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
55,LwbNBvrbL9f,100.0,202503,indicator_1,MVQs2RrS1Nw,Muzaffarnagar,Muzaffarnagar (Urban),62,,Saharanpur Division,132,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p
