,block_id,perc_point,date,indicator_id,uid_district,district,block,0,map_id,division,div_map_id,type,domain,indicator_ids,indicator,calc_type,indicator_index,type_index
0,FyHWyWYiq51,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.6948384229926028
1,FyHWyWYiq51,85.81420868771848,202503,indicator_3,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.8438848930375853,0.6948384229926028
2,FyHWyWYiq51,96.41616383251052,202503,indicator_5,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,0.9641616383251052,0.6948384229926028
3,FyHWyWYiq51,100.0,202503,indicator_7,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,1.0,0.6948384229926028
4,FyHWyWYiq51,100.0,202503,indicator_10,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,1.0,0.6948384229926028
5,FyHWyWYiq51,33.70853626072432,202503,indicator_8,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.18244554860778686,0.6948384229926028
6,FyHWyWYiq51,95.83869098970148,202503,indicator_9,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.1878096750361625,0.6948384229926028
7,FyHWyWYiq51,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Niyamatabad,47,767.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.6948384229926028
8,QglkJx8TDdn,60.08049518041678,202503,indicator_1,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,0.49052479023359147,0.5033436492266032
9,QglkJx8TDdn,65.80469472939944,202503,indicator_3,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.6236795239395322,0.5033436492266032
10,QglkJx8TDdn,88.90982503364737,202503,indicator_5,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,0.8890982503364736,0.5033436492266032
11,QglkJx8TDdn,65.04405913693215,202503,indicator_7,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.6393371169819557,0.5033436492266032
12,QglkJx8TDdn,74.74543368337223,202503,indicator_10,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,0.7023026692561415,0.5033436492266032
13,QglkJx8TDdn,26.69177855756102,202503,indicator_8,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.14446774385531094,0.5033436492266032
14,QglkJx8TDdn,80.10977667727346,202503,indicator_9,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.1569334702756381,0.5033436492266032
15,QglkJx8TDdn,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Chandauli,47,768.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.5033436492266032
16,F1Ddi7jawvX,100.0,202503,indicator_1,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,ante_natal,indicator_1,% of pregnant women received 4 or more ANC against estimated PW,p,1.0,0.6462442305317191
17,F1Ddi7jawvX,76.45176239079831,202503,indicator_3,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,delivery_care,indicator_3,% of pregnant women delivered in institution against estimated delivery,p,0.7408508589891539,0.6462442305317191
18,F1Ddi7jawvX,100.0,202503,indicator_5,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,post_natal_care,indicator_5,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),p,1.0,0.6462442305317191
19,F1Ddi7jawvX,90.60141543615377,202503,indicator_7,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,immunization,indicator_7,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",p,0.9030287693195229,0.6462442305317191
20,F1Ddi7jawvX,99.1888326424053,202503,indicator_10,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,communicable_diseases,indicator_10,% of PW screened for HIV against estimated pregnancy,p,0.9904380715109133,0.6462442305317191
21,F1Ddi7jawvX,5.354186202541661,202503,indicator_8,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,family_planning,indicator_8,Permanent Method accepted per 1000 EC,p,0.028979230409631736,0.6462442305317191
22,F1Ddi7jawvX,64.47969955346599,202503,indicator_9,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,family_planning,indicator_9,Reversible Method accepted per 1000 EC,p,0.12625128509034855,0.6462442305317191
23,F1Ddi7jawvX,4802.931003094847,202503,indicator_11,ClbehnmwSec,Chandauli,Dhanapur,45,765.0,Varanasi Division,195,coverage,finance,indicator_11,Per ASHA expenditure of ASHA incentive fund,p,0.3804056289341828,0.6462442305317191
