date,district,district_id,indicator_id,map_id,rank,value
2020-04-01,Gonda,y8WarEkWCul,5,183,16.0,10.810810810810812
2020-04-01,Gonda,y8WarEkWCul,6,183,10.0,51.35135135135135
2020-04-01,Gonda,y8WarEkWCul,9,183,28.0,38.437472224691135
2020-04-01,Gonda,y8WarEkWCul,10,183,19.0,49.79468491689629
2020-04-01,Gonda,y8WarEkWCul,11,183,21.0,60.627499777797524
2020-04-01,Gonda,y8WarEkWCul,14,183,3.0,88.397212543554
2020-04-01,Gonda,y8WarEkWCul,16,183,5.0,11.798062394453824
2020-04-01,Gonda,y8WarEkWCul,17,183,1.0,100.0
2020-04-01,Gonda,y8WarEkWCul,18,183,36.0,14.368983097891984
2020-04-01,Gonda,y8WarEkWCul,28,183,1.0,0.0
2020-04-01,Gonda,y8WarEkWCul,30,183,1.0,0.0
2020-04-01,Gonda,y8WarEkWCul,32,183,38.0,29.925563479256677
2020-04-01,Gonda,y8WarEkWCul,35,183,1.0,0.0
2020-04-01,Shamli,AdiUcz9BXhx,1,203,15.0,3.56969008599708
2020-04-01,Shamli,AdiUcz9BXhx,2,203,1.0,0.0
2020-04-01,Shamli,AdiUcz9BXhx,5,203,11.0,18.0
2020-04-01,Shamli,AdiUcz9BXhx,6,203,12.0,48.0
2020-04-01,Shamli,AdiUcz9BXhx,9,203,60.0,20.601178781925345
2020-04-01,Shamli,AdiUcz9BXhx,10,203,58.0,26.730844793713164
2020-04-01,Shamli,AdiUcz9BXhx,11,203,61.0,30.510805500982322
2020-04-01,Shamli,AdiUcz9BXhx,14,203,47.0,0.18963337547408346
2020-04-01,Shamli,AdiUcz9BXhx,16,203,61.0,0.8290766208251473
2020-04-01,Shamli,AdiUcz9BXhx,17,203,1.0,100.0
2020-04-01,Shamli,AdiUcz9BXhx,18,203,48.0,10.736196319018406
2020-04-01,Shamli,AdiUcz9BXhx,19,203,8.0,0.0
2020-04-01,Shamli,AdiUcz9BXhx,20,203,16.0,48.97053045186641
2020-04-01,Shamli,AdiUcz9BXhx,21,203,7.0,9.960707269155206
2020-04-01,Shamli,AdiUcz9BXhx,22,203,2.0,0.0
2020-04-01,Shamli,AdiUcz9BXhx,28,203,1.0,0.0
2020-04-01,Shamli,AdiUcz9BXhx,30,203,1.0,0.0
2020-04-01,Shamli,AdiUcz9BXhx,32,203,14.0,45.928695945566
2020-04-01,Shamli,AdiUcz9BXhx,35,203,1.0,0.0
2020-04-01,Meerut,v8YGmR7nOdj,1,138,1.0,100.0
2020-04-01,Meerut,v8YGmR7nOdj,2,138,1.0,0.0
2020-04-01,Meerut,v8YGmR7nOdj,5,138,45.0,0.0
2020-04-01,Meerut,v8YGmR7nOdj,9,138,39.0,35.30906306557149
2020-04-01,Meerut,v8YGmR7nOdj,10,138,38.0,38.38229152164835
2020-04-01,Meerut,v8YGmR7nOdj,11,138,46.0,43.27579005986357
2020-04-01,Meerut,v8YGmR7nOdj,14,138,38.0,5.6751467710371815
2020-04-01,Meerut,v8YGmR7nOdj,16,138,44.0,2.2135597939579563
2020-04-01,Meerut,v8YGmR7nOdj,17,138,1.0,100.0
2020-04-01,Meerut,v8YGmR7nOdj,18,138,20.0,20.48576168847064
2020-04-01,Meerut,v8YGmR7nOdj,28,138,1.0,0.0
2020-04-01,Meerut,v8YGmR7nOdj,30,138,1.0,0.0
2020-04-01,Meerut,v8YGmR7nOdj,32,138,67.0,12.954176926310732
2020-04-01,Meerut,v8YGmR7nOdj,35,138,1.0,0.0
2020-04-01,Auraiya,Bd6E8zkVvVt,1,162,8.0,37.62708013858125
2020-04-01,Auraiya,Bd6E8zkVvVt,2,162,1.0,0.0
2020-04-01,Auraiya,Bd6E8zkVvVt,5,162,35.0,2.5
2020-04-01,Auraiya,Bd6E8zkVvVt,9,162,1.0,74.86680139628879
2020-04-01,Auraiya,Bd6E8zkVvVt,10,162,1.0,81.71963990446443
2020-04-01,Auraiya,Bd6E8zkVvVt,11,162,2.0,91.32831159287159
2020-04-01,Auraiya,Bd6E8zkVvVt,14,162,50.0,0.0
2020-04-01,Auraiya,Bd6E8zkVvVt,16,162,47.0,2.0331924796374548
2020-04-01,Auraiya,Bd6E8zkVvVt,17,162,1.0,100.0
2020-04-01,Auraiya,Bd6E8zkVvVt,18,162,1.0,65.15011169835994
2020-04-01,Auraiya,Bd6E8zkVvVt,28,162,1.0,0.0
2020-04-01,Auraiya,Bd6E8zkVvVt,30,162,1.0,0.0
2020-04-01,Auraiya,Bd6E8zkVvVt,32,162,17.0,42.95525997581621
2020-04-01,Auraiya,Bd6E8zkVvVt,35,162,1.0,0.0
2020-04-01,Kannauj,IhQbDYRiF8w,1,160,1.0,100.0
2020-04-01,Kannauj,IhQbDYRiF8w,2,160,1.0,0.0
2020-04-01,Kannauj,IhQbDYRiF8w,5,160,14.0,13.043478260869565
2020-04-01,Kannauj,IhQbDYRiF8w,9,160,17.0,47.33761217091578
2020-04-01,Kannauj,IhQbDYRiF8w,10,160,30.0,42.1554644321626
2020-04-01,Kannauj,IhQbDYRiF8w,11,160,47.0,42.4318060260296
2020-04-01,Kannauj,IhQbDYRiF8w,14,160,25.0,20.79002079002079
2020-04-01,Kannauj,IhQbDYRiF8w,16,160,26.0,5.354489808046592
2020-04-01,Kannauj,IhQbDYRiF8w,17,160,1.0,100.0
2020-04-01,Kannauj,IhQbDYRiF8w,18,160,8.0,29.61528956256693
2020-04-01,Kannauj,IhQbDYRiF8w,19,160,8.0,0.0
2020-04-01,Kannauj,IhQbDYRiF8w,20,160,28.0,0.0
2020-04-01,Kannauj,IhQbDYRiF8w,21,160,28.0,0.0
