block_id,date,indicator_id,perc_point
kneJKc3fNtp,201710,indicator_16,1.117318436
pkRX2naWpN3,201710,indicator_16,0.973520249
aP18Pdo2sLv,201710,indicator_16,0.126262626
CqlV6Koe6vJ,201710,indicator_16,0.636363636
arETnjnVPdJ,201710,indicator_16,1.611694153
ABuWCL4zW6t,201710,indicator_16,1.526988636
hIlEZsYKlhK,201710,indicator_16,3.977272727
zshpWWwvLd3,201710,indicator_16,0.525362319
tbi6Bsb6jlU,201710,indicator_16,1.330150068
VoR9CT9z1Rx,201710,indicator_16,0.863636364
fO0hzktt79F,201710,indicator_16,0.040584416
qoqWCWNVx1j,201710,indicator_16,1.094276094
nKJmMxPaEZ9,201710,indicator_16,2.334337349
Orx7pmg4L68,201710,indicator_16,0.935828877
l4r3ouFQPZS,201710,indicator_16,0.669014085
VmevjLb8Eme,201710,indicator_16,0.568181818
KTP3RqHdGlM,201710,indicator_16,3.374524715
kvn8lGZHRgM,201710,indicator_16,0.753768844
dOCMMkuHb5N,201710,indicator_16,1.207386364
vXwJYqDZIzf,201710,indicator_16,0.568181818
Rhej6WFZaSI,201710,indicator_16,1.183712121
f4VnN0yydmT,201710,indicator_16,2.12636695
HZQTgHfOykd,201710,indicator_16,1.09223301
pWd385fXS6s,201710,indicator_16,0.260869565
wPymOYKUUFI,201710,indicator_16,0.946969697
kzpItiarBRF,201710,indicator_16,1.209677419
FHp906GIA29,201710,indicator_16,1.652601969
prVsNzGqemV,201710,indicator_16,0.445632799
RiDtZZsck6S,201710,indicator_16,1.136363636
KZ9A7NuGOta,201710,indicator_16,2.353896104
m5Tn9LTc2Dy,201710,indicator_16,0.293132328
dbmh0v75n2G,201710,indicator_16,0.247035573
wwaYoRwSd1k,201710,indicator_16,0.909090909
shhTmT0DeTX,201710,indicator_16,0.681818182
hFYPDvQ1x7I,201710,indicator_16,2.413793103
pE27TXbzXZ5,201710,indicator_16,2.971311475
R2Jott0TJjX,201710,indicator_16,1.658476658
EdO6OYkMy4n,201710,indicator_16,0.511363636
rzAzyO3UWpL,201710,indicator_16,0.828313253
j5nQ6oNNVnX,201710,indicator_16,0.831749049
c6v4wYwFFOK,201710,indicator_16,1.794374394
rAeHXnn5JSw,201710,indicator_16,2.253521127
aHuzZgGIslk,201710,indicator_16,0.962539022
X5WeRBwPtNl,201710,indicator_16,1.217532468
Pf9sH55x9lG,201710,indicator_16,3.913963329
Jmwf6ICjPJQ,201710,indicator_16,0.884353741
pw5oJhc8fpc,201710,indicator_16,1.043478261
DNtrijn28qb,201710,indicator_16,1.503537736
TqhQTNCu0rW,201710,indicator_16,0.917832168
B1rNgGH3FaM,201710,indicator_16,1.707726764
oiZGLrWMq7u,201710,indicator_16,0.756901158
GHjV9QTEXyn,201710,indicator_16,1.489825581
FBjTmOT2uLU,201710,indicator_16,1.145418327
h3yrIIH1cGT,201710,indicator_16,0.223214286
QdKW8E0HxRg,201710,indicator_16,1.01461039
N5oPV77d3Vf,201710,indicator_16,1.086956522
cCWLrzUi4yN,201710,indicator_16,0.404530744
emjMgvubuGe,201710,indicator_16,1.028138528
MWJyDwqvBqS,201710,indicator_16,0.9765625
gSwqRR5qMEE,201710,indicator_16,0.729442971
xIm2KLhn48h,201710,indicator_16,1.500682128
ApSm0CuGVfL,201710,indicator_16,1.37434555
o9uEgq78lMK,201710,indicator_16,0.605620155
P39P0iQKIWH,201710,indicator_16,1.126760563
i8KzqsutvXl,201710,indicator_16,0.216450216
rBDpTYpQ340,201710,indicator_16,0.56726094
BWEaFP6tBWO,201710,indicator_16,0.619834711
cp2Je1Z1Zo6,201710,indicator_16,0.331439394
bMszXRRjCCv,201710,indicator_16,1.326874473
RyFHMa78ezE,201710,indicator_16,0.602409639
JZJD7vQ6YIE,201710,indicator_16,1.988636364
YDOGtOLeFg1,201710,indicator_16,1.521164021
FXjd8I3tis1,201710,indicator_16,1
VhF9wHMOsI2,201710,indicator_16,0.480769231
a5WBFfhetVT,201710,indicator_16,2.707373272
u7AfLScMrQL,201710,indicator_16,0.084175084
BFS0IOjIJM6,201710,indicator_16,0.909752547
a3X4KgFjlsz,201710,indicator_16,0.272727273
IjocfjQxUOy,201710,indicator_16,2.154126214
jJP9OWvYMuH,201710,indicator_16,1.188016529
vlW7Ky7ubGA,201710,indicator_16,1.262626263
noXyISQsTiJ,201710,indicator_16,1.263661202
hty8pfH1ySe,201710,indicator_16,2.029220779
VpPC8KPVwrC,201710,indicator_16,2.275815217
zph89qUJBah,201710,indicator_16,2.513586957
QglkJx8TDdn,201710,indicator_16,2.785326087
kqqVceYxMn2,201710,indicator_16,1.349614396
oV5iZQFUzGo,201710,indicator_16,1.192098093
P0KHYXl7qFF,201710,indicator_16,0.639386189
koZRGrwQvrl,201710,indicator_16,0.515151515
X2K6bByVLd2,201710,indicator_16,1.173020528
voVPLJSfahW,201710,indicator_16,0.603864734
