date,district,district_id,indicator_id,perc_point
201711,Bagpat,HJIS3IrQ0Nj,indicator_13,1.19047619
201711,Bahraich,iE0E3nLioFr,indicator_13,4.761904762
201711,Ballia,oNDvGBE5fLq,indicator_13,4.5
201711,Balrampur,uS0pNSxN3sS,indicator_13,0.784313725
201711,Banda,DggJGxqbWHn,indicator_13,1.607717042
201711,Barabanki,tzH6nJu9SwS,indicator_13,2.78372591
201711,Bareilly,vVqY3DPcpHf,indicator_13,1.293103448
201711,Basti,J1P16zQEOUT,indicator_13,1.807228916
201711,Bhadohi,PeUY1vj02UQ,indicator_13,3.243243243
201711,Bijnor,uCYjHW7FuGG,indicator_13,6.133333333
201711,Budaun,eA37kyBRRuZ,indicator_13,1.955307263
201711,Bulandshahar,ogBt4gWCiem,indicator_13,2.040816327
201711,Chandauli,ClbehnmwSec,indicator_13,4.827586207
201711,Chitrakoot,i2fSZZ3QAJJ,indicator_13,
201711,Deoria,Tf9b9qcbghH,indicator_13,3.90625
201711,Etah,ZLcx4iOVyN5,indicator_13,1.895734597
201711,Etawah,Pm0jLk6EAiE,indicator_13,4.975124378
201711,Farrukhabad,uEEwlAGZXWW,indicator_13,1.401869159
201711,Fatehpur,ibLiLcaKzw2,indicator_13,1.420454545
201711,Firozabad,eJTsuE56XDF,indicator_13,4.460966543
201711,Gautam Buddha Nagar,bNmwkrQeP3e,indicator_13,0.769230769
201711,Ghaziabad,M5NHlfAaKYI,indicator_13,3.76344086
201711,Ghazipur,dScWdMRN8PL,indicator_13,3.579418345
201711,Gonda,y8WarEkWCul,indicator_13,4.312668464
201711,Gorakhpur,vR85cHdsw1w,indicator_13,3.311258278
201711,Hamirpur,VSI7HobT5qL,indicator_13,1.276595745
201711,Hapur,CZ8kLjgqvSH,indicator_13,2.234636872
201711,Hardoi,MTIkUw5q5pX,indicator_13,2.306079665
201711,Hathras,m1IAjmqkoFC,indicator_13,4.054054054
201711,Jalaun,NL5xiiHZQSC,indicator_13,1.572327044
201711,Jaunpur,gmw76vAUMqz,indicator_13,3.649635036
201711,Jhansi,Mq751wBMqGF,indicator_13,3.193612774
201711,Kannauj,IhQbDYRiF8w,indicator_13,1.818181818
201711,Kanpur Dehat,k3D0AumUCiC,indicator_13,2.573529412
201711,Kanpur Nagar,QVMRMhzVrrS,indicator_13,1.048951049
201711,Kasganj,hITp09XOBLZ,indicator_13,3.664921466
201711,Kaushambi,PAj0oVY0Dxu,indicator_13,2.487562189
201711,Kushinagar,xUeHwd9FQkg,indicator_13,7.843137255
201711,Lakhimpur Kheri,d9ZuMopgX29,indicator_13,6.739130435
201711,Lalitpur,fagfcadhxej,indicator_13,3.652968037
201711,Lucknow,MfHac5N78aK,indicator_13,3.287671233
201711,Maharajganj,AcnMkNGgc3S,indicator_13,3.943661972
201711,Mahoba,sUQMxIc3yXj,indicator_13,1.129943503
201711,Mainpuri,XBLhrSWGytu,indicator_13,1.304347826
201711,Mathura,KP2BUB1npih,indicator_13,1.831501832
201711,Maunathbhanjan,CBSB9v92AwT,indicator_13,6.177606178
201711,Meerut,v8YGmR7nOdj,indicator_13,1.126126126
201711,Mirzapur,UAicdMLyuk4,indicator_13,4.702194357
201711,Moradabad,YQNQoPjAIpV,indicator_13,5.373134328
201711,Muzaffarnagar,MVQs2RrS1Nw,indicator_13,3.170028818
201711,Pilibhit,c96jwckSd6j,indicator_13,1.244813278
201711,Pratapgarh,fz7bJo3egPX,indicator_13,4.199475066
201711,Prayagraj,tXgaew1Pd2Y,indicator_13,2.155887231
201711,Rae Bareli,lLvTDpBDY8u,indicator_13,4.134366925
201711,Rampur,IU006h5U7jj,indicator_13,1.214574899
201711,Saharanpur,FKYZ3JbWq84,indicator_13,2.702702703
201711,Sambhal,YzHpzrN0eLv,indicator_13,2.34375
201711,Sant Kabir Nagar,fe1yBApr2sl,indicator_13,2.702702703
201711,Shahjahanpur,GaiLSoQq1ue,indicator_13,2.110817942
201711,Shamli,AdiUcz9BXhx,indicator_13,1.226993865
201711,Shrawasti,oyTwneTbWDx,indicator_13,2.205882353
201711,Siddharth Nagar,cP0p8qfm3il,indicator_13,7.744107744
201711,Sitapur,XxaOowFtkiJ,indicator_13,2.490421456
201711,Sonbhadra,NNk3JP90QZ5,indicator_13,3.524229075
201711,Sultanpur,o4ZQTVcMI7U,indicator_13,2.670623145
201711,Unnav,aT03mfdlNiF,indicator_13,1.813471503
201711,Varanasi,LeuBT7KfuuA,indicator_13,3.485254692
201712,Agra,N5WWbRtsjWp,indicator_13,1.877934272
201712,Aligarh,frD2HOp3wAs,indicator_13,2.073732719
201712,Ambedkar Nagar,jM27ji8tyrM,indicator_13,1.869158879
201712,Amethi,StsLkYw1G0m,indicator_13,2.448979592
201712,Amroha,hgquAmZaNBu,indicator_13,0.966183575
201712,Auraiya,Bd6E8zkVvVt,indicator_13,2.717391304
201712,Ayodhya,b4XkXzoGqFY,indicator_13,6.005221932
201712,Azamgarh,NjckKfm3g0k,indicator_13,1.751313485
201712,Bagpat,HJIS3IrQ0Nj,indicator_13,1.19047619
201712,Bahraich,iE0E3nLioFr,indicator_13,4.761904762
201712,Ballia,oNDvGBE5fLq,indicator_13,4.5
201712,Balrampur,uS0pNSxN3sS,indicator_13,0.784313725
201712,Banda,DggJGxqbWHn,indicator_13,1.607717042
201712,Barabanki,tzH6nJu9SwS,indicator_13,2.78372591
201712,Bareilly,vVqY3DPcpHf,indicator_13,1.293103448
201712,Basti,J1P16zQEOUT,indicator_13,1.807228916
201712,Bhadohi,PeUY1vj02UQ,indicator_13,3.243243243
201712,Bijnor,uCYjHW7FuGG,indicator_13,6.133333333
201712,Budaun,eA37kyBRRuZ,indicator_13,1.955307263
201712,Bulandshahar,ogBt4gWCiem,indicator_13,2.040816327
201712,Chandauli,ClbehnmwSec,indicator_13,4.827586207
201712,Chitrakoot,i2fSZZ3QAJJ,indicator_13,
201712,Deoria,Tf9b9qcbghH,indicator_13,3.90625
201712,Etah,ZLcx4iOVyN5,indicator_13,1.895734597
201712,Etawah,Pm0jLk6EAiE,indicator_13,4.975124378
201712,Farrukhabad,uEEwlAGZXWW,indicator_13,1.401869159
201712,Fatehpur,ibLiLcaKzw2,indicator_13,1.420454545
201712,Firozabad,eJTsuE56XDF,indicator_13,4.460966543
201712,Gautam Buddha Nagar,bNmwkrQeP3e,indicator_13,0.769230769
201712,Ghaziabad,M5NHlfAaKYI,indicator_13,3.76344086
201712,Ghazipur,dScWdMRN8PL,indicator_13,3.579418345
201712,Gonda,y8WarEkWCul,indicator_13,4.312668464
201712,Gorakhpur,vR85cHdsw1w,indicator_13,3.311258278
201712,Hamirpur,VSI7HobT5qL,indicator_13,1.276595745
201712,Hapur,CZ8kLjgqvSH,indicator_13,2.234636872
201712,Hardoi,MTIkUw5q5pX,indicator_13,2.306079665
201712,Hathras,m1IAjmqkoFC,indicator_13,4.054054054
201712,Jalaun,NL5xiiHZQSC,indicator_13,1.572327044
201712,Jaunpur,gmw76vAUMqz,indicator_13,3.649635036
201712,Jhansi,Mq751wBMqGF,indicator_13,3.193612774
201712,Kannauj,IhQbDYRiF8w,indicator_13,1.818181818
201712,Kanpur Dehat,k3D0AumUCiC,indicator_13,2.573529412
