calc_type,composite_index,composite_rank,date,district,district_id,div_map_id,division,domain,domain_index,domain_rank,indicator,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type,type_index,type_rank,value,year
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,family_planning,0.104217399,62.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.074610331,42.0,201,1.830667217,coverage,0.391151481,56.0,,2018
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,family_planning,0.104217399,62.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.133824467,64.0,201,4.743901966,coverage,0.391151481,56.0,,2018
p,0.534211086,50.0,2017-04-01,Etah,ZLcx4iOVyN5,201,Alligarh Division,finance,0.615147413,21.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.615147413,21.0,201,24817.22641,coverage,0.391151481,56.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,ante_natal,0.261032741,59.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.261032741,59.0,197,36.91021007,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.5528566420000001,38.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.6203033960000001,19.0,197,74.2204069,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.5528566420000001,38.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.015467895,41.0,197,0.355287009,quality,0.675128101,29.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.5528566420000001,38.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.211434922,39.0,197,2.987804878,quality,0.675128101,29.0,,2018
n,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,delivery_care,0.5528566420000001,38.0,Still birth ratio,indicator_4,indicator_4,0.8113637140000001,29.0,197,12.20575414,quality,0.675128101,29.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,post_natal_care,0.8026350390000001,2.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.8026350390000001,2.0,197,67.7478245,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,immunization,0.831122936,12.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,197,100.0,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,immunization,0.831122936,12.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.6622458720000001,12.0,197,1.103236423,quality,0.675128101,29.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,0.640682223,50.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.281364446,50.0,197,17.993024,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,communicable_diseases,0.640682223,50.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,197,100.0,quality,0.675128101,29.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,family_planning,0.292187998,17.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.27113907,13.0,197,6.308161244,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,family_planning,0.292187998,17.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.313236925,29.0,197,9.427673333,coverage,0.53569877,13.0,,2018
p,0.60508645,21.0,2017-04-01,Varanasi,LeuBT7KfuuA,195,Varanasi Division,finance,0.7358785390000001,9.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.7358785390000001,9.0,197,26084.66467,coverage,0.53569877,13.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,ante_natal,0.200271335,66.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.200271335,66.0,136,31.72266714,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.600608064,26.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.490096179,32.0,136,65.73442675,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.600608064,26.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.26466352600000004,8.0,136,6.079140889,quality,0.7060701,22.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.600608064,26.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.281619692,33.0,136,3.979591837,quality,0.7060701,22.0,,2018
n,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,delivery_care,0.600608064,26.0,Still birth ratio,indicator_4,indicator_4,0.7654447940000001,42.0,136,14.95637723,quality,0.7060701,22.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,post_natal_care,0.5616986979999999,18.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.5616986979999999,18.0,136,51.90679054,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,immunization,0.756276195,28.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,136,100.0,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,immunization,0.756276195,28.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.51255239,28.0,136,1.035203481,quality,0.7060701,22.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,communicable_diseases,0.65054663,47.0,% of PW screened for HIV against estimated pregnancy,indicator_11,indicator_11,0.30109326,47.0,136,19.19404973,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,communicable_diseases,0.65054663,47.0,Total case notification rate of TB against expected TB cases,indicator_10,indicator_10,1.0,1.0,136,100.0,quality,0.7060701,22.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,family_planning,0.148135097,46.0,Permanent Method accepted per 1000 EC,indicator_8,indicator_8,0.056202631,55.0,136,1.411286473,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,family_planning,0.148135097,46.0,Reversible Method accepted per 1000 EC,indicator_9,indicator_9,0.240067564,39.0,136,7.517501873,coverage,0.392473889,55.0,,2018
p,0.6035174010000001,23.0,2017-04-01,Rampur,IU006h5U7jj,134,Moradabad Division,finance,0.290361442,59.0,Per ASHA expenditure of ASHA incentive fund,indicator_12,indicator_12,0.290361442,59.0,136,21407.61548,coverage,0.392473889,55.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,ante_natal,0.189127936,67.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,indicator_1,indicator_1,0.189127936,67.0,185,30.77129255,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.463905833,48.0,% of pregnant women delivered in institution against estimated delivery,indicator_2,indicator_2,0.347149728,63.0,185,56.41819396,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.463905833,48.0,% of C-section delivery against reported delivery (70% weightage to CHC),indicator_31,indicator_31,0.014585425,42.0,185,0.335017283,quality,0.621521902,39.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.463905833,48.0,% of C-section delivery against reported delivery (30% to DH),indicator_32,indicator_32,0.304173589,31.0,185,4.298302872,quality,0.621521902,39.0,,2018
n,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,delivery_care,0.463905833,48.0,Still birth ratio,indicator_4,indicator_4,0.725808758,52.0,185,17.33064472,quality,0.621521902,39.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,post_natal_care,0.701069451,8.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),indicator_5,indicator_5,0.701069451,8.0,185,61.07011070000001,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,immunization,0.7207599170000001,36.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",indicator_7,indicator_7,1.0,1.0,185,100.0,coverage,0.435800716,35.0,,2018
p,0.5888523729999999,31.0,2017-04-01,Basti,J1P16zQEOUT,185,Basti Division,immunization,0.7207599170000001,36.0,Ratio of Pentavalent 3 to BCG,indicator_6,indicator_6,0.441519835,36.0,185,1.002920487,quality,0.621521902,39.0,,2018
