,block,composite_index,rank,month,district
2298,Saurikh,0.72282,527.0,Sep 2023,Kannauj
2299,Talgram,0.635841,782.0,Sep 2023,Kannauj
2300,Pharenda,0.771491,246.0,Sep 2023,Maharajganj
2301,Nichlaul,0.749957,384.0,Sep 2023,Maharajganj
2303,Brijmanganj,0.75501,352.0,Sep 2023,Maharajganj
2305,Maharajganj (Urban),0.68966,641.0,Sep 2023,Maharajganj
2307,Siswa,0.763529,307.0,Sep 2023,Maharajganj
2308,Dhani,0.830247,9.0,Sep 2023,Maharajganj
2309,Ghughuli,0.775811,222.0,Sep 2023,Maharajganj
2311,Thana Bhawan,0.788054,144.0,Sep 2023,Shamli
2312,Shamli,0.804549,78.0,Sep 2023,Shamli
2313,Kandhla,0.783258,179.0,Sep 2023,Shamli
2314,UN,0.797229,102.0,Sep 2023,Shamli
2315,Mau,0.757298,339.0,Sep 2023,Chitrakoot
2316,Chitrakoot (Urban),0.521308,859.0,Sep 2023,Chitrakoot
2317,Rajepur,0.772739,238.0,Sep 2023,Farrukhabad
2319,Kaimganj,0.764678,301.0,Sep 2023,Farrukhabad
2320,Asafpur,0.683464,668.0,Sep 2023,Budaun
2321,Chandaus,0.797772,100.0,Sep 2023,Aligarh
2322,Mardah,0.792071,121.0,Sep 2023,Ghazipur
2324,Mal,0.513357,862.0,Sep 2023,Lucknow
2325,Shahabganj,0.747597,399.0,Sep 2023,Chandauli
2326,Bhaluani,0.730166,492.0,Sep 2023,Deoria
2327,Khuniyaon,0.678568,679.0,Sep 2023,Siddharth Nagar
2328,Vishunpura,0.716949,549.0,Sep 2023,Kushinagar
2329,Rampur,0.769588,261.0,Sep 2023,Jaunpur
2331,Gulaothi,0.778601,210.0,Sep 2023,Bulandshahar
2332,Bichhiya,0.797888,98.0,Sep 2023,Unnav
2333,Shivgarh,0.740149,438.0,Sep 2023,Rae Bareli
2336,Jaitpur Kalan,0.671599,699.0,Sep 2023,Agra
2337,Saiyan,0.778207,211.0,Sep 2023,Agra
2338,Telyani,0.759503,330.0,Sep 2023,Fatehpur
2340,Mahrajganj,0.664121,729.0,Sep 2023,Azamgarh
2345,Sidhauli,0.685548,662.0,Sep 2023,Sitapur
2346,Behta,0.784762,169.0,Sep 2023,Sitapur
2348,Birdha,0.783634,174.0,Sep 2023,Lalitpur
2352,Asmauli,0.699965,614.0,Sep 2023,Sambhal
2353,Janawai,0.805872,75.0,Sep 2023,Sambhal
2359,Sau Ghat,0.735023,464.0,Sep 2023,Basti
2366,Purkazi,0.829926,11.0,Sep 2023,Muzaffarnagar
2367,Brahmpur,0.712488,565.0,Sep 2023,Gorakhpur
2369,Ujhani,0.706921,587.0,Sep 2023,Budaun
2370,Mion,0.727752,504.0,Sep 2023,Budaun
2373,Motigarpur,0.808618,62.0,Sep 2023,Sultanpur
2374,Dhanipur,0.751335,367.0,Sep 2023,Aligarh
2378,Hasayan,0.771416,247.0,Sep 2023,Hathras
2379,Sikandra Rao,0.78761,147.0,Sep 2023,Hathras
2384,Naugarh,0.769888,256.0,Sep 2023,Chandauli
2385,Bhatni,0.665963,720.0,Sep 2023,Deoria
2386,Domariyaganj,0.608714,812.0,Sep 2023,Siddharth Nagar
2387,Khadda,0.656971,742.0,Sep 2023,Kushinagar
2390,Ramnagar,0.732158,483.0,Sep 2023,Jaunpur
2391,Karanjakala,0.696937,623.0,Sep 2023,Jaunpur
2392,Baldeo,0.735982,457.0,Sep 2023,Mathura
2396,Sikandarpur Sarausi,0.830453,7.0,Sep 2023,Unnav
2398,Aalampur Jafarabad,0.645194,766.0,Sep 2023,Bareilly
2399,Richha,0.748395,393.0,Sep 2023,Bareilly
2401,Lalganj,0.656478,744.0,Sep 2023,Rae Bareli
2403,Jhinjhak,0.710676,576.0,Sep 2023,Kanpur Dehat
2404,Sarbankhera,0.787332,149.0,Sep 2023,Kanpur Dehat
2409,Jasrana,0.727579,507.0,Sep 2023,Firozabad
2410,Nawabganj,0.642759,770.0,Sep 2023,Bahraich
2414,Kanth,0.698413,617.0,Sep 2023,Shahjahanpur
2417,Bichpuri,0.676391,687.0,Sep 2023,Agra
2418,Kheragarh,0.735814,459.0,Sep 2023,Agra
2422,Myorpur,0.826363,15.0,Sep 2023,Sonbhadra
2423,Chopan,0.784482,173.0,Sep 2023,Sonbhadra
2425,Azamgarh (Urban),0.539638,854.0,Sep 2023,Azamgarh
2433,Tadiyawan,0.779625,202.0,Sep 2023,Hardoi
2434,Pardaha,0.817861,40.0,Sep 2023,Maunathbhanjan
2436,Kakwan,0.627515,794.0,Sep 2023,Kanpur Nagar
2442,Lakshamanpur,0.670579,702.0,Sep 2023,Pratapgarh
2443,Hamirpur (Urban),0.68971,640.0,Sep 2023,Hamirpur
2444,Pandah,0.782436,182.0,Sep 2023,Ballia
2449,Gilaula,0.796478,107.0,Sep 2023,Shrawasti
2450,Ekona,0.75942,331.0,Sep 2023,Shrawasti
2451,Belhar Kala,0.687871,649.0,Sep 2023,Sant Kabir Nagar
2453,Awagarh,0.755143,351.0,Sep 2023,Etah
2455,Sirauli Gauspur,0.806046,73.0,Sep 2023,Barabanki
2458,Gyanpur,0.789576,138.0,Sep 2023,Bhadohi
2460,Shahpur,0.72653,511.0,Sep 2023,Muzaffarnagar
2461,Mitauli,0.619879,802.0,Sep 2023,Lakhimpur Kheri
2462,Nakaha,0.803996,79.0,Sep 2023,Lakhimpur Kheri
2465,Haseran,0.78978,137.0,Sep 2023,Kannauj
2470,Manikpur,0.799258,93.0,Sep 2023,Chitrakoot
2471,Islamnagar,0.7157,556.0,Sep 2023,Budaun
2475,Ambiapur,0.726674,509.0,Sep 2023,Budaun
2478,Salarpur,0.775969,220.0,Sep 2023,Budaun
2487,Rudauli,0.647881,763.0,Sep 2023,Ayodhya
2490,Mavai,0.807535,66.0,Sep 2023,Ayodhya
