,block,composite_index,rank,month,district
3686,Aspur Deosara,0.723176,525.0,Sep 2023,Pratapgarh
3710,Gohand,0.706466,589.0,Sep 2023,Hamirpur
3712,Muskara,0.780122,199.0,Sep 2023,Hamirpur
3732,Gautam Buddha Nagar (Urban),0.621737,800.0,Sep 2023,Gautam Buddha Nagar
3740,Rajpura,0.792277,120.0,Sep 2023,Meerut
3744,Meerut (Urban),0.563347,845.0,Sep 2023,Meerut
3745,Baraut,0.722634,528.0,Sep 2023,Bagpat
3765,Konch,0.737929,449.0,Sep 2023,Jalaun
3781,Etah (Urban),0.502204,867.0,Sep 2023,Etah
3793,Fatehpur,0.597684,821.0,Sep 2023,Barabanki
3800,Ghaziabad (Urban),0.661249,734.0,Sep 2023,Ghaziabad
3802,Shukul Bazar,0.8189,34.0,Sep 2023,Amethi
3805,Jagdishpur,0.828153,13.0,Sep 2023,Amethi
3807,Amethi,0.830215,10.0,Sep 2023,Amethi
3828,Muzaffarnagar,0.771106,250.0,Sep 2023,Muzaffarnagar
3837,Ajit Mal,0.767026,283.0,Sep 2023,Auraiya
3852,Behjam,0.683963,666.0,Sep 2023,Lakhimpur Kheri
3860,Jangal Kodia,0.685649,661.0,Sep 2023,Gorakhpur
3862,Belghat,0.655674,746.0,Sep 2023,Gorakhpur
3890,Mohammadabad,0.741335,430.0,Sep 2023,Farrukhabad
3918,Bachhrawan,0.777514,213.0,Sep 2023,Rae Bareli
3931,Bharthana,0.696309,627.0,Sep 2023,Etawah
3965,Salempur,0.664365,727.0,Sep 2023,Deoria
3999,Kasganj (Urban),0.412897,884.0,Sep 2023,Kasganj
4022,Balrampur (Urban),0.69153,636.0,Sep 2023,Balrampur
4025,Kadaura,0.748722,391.0,Sep 2023,Jalaun
4130,Deoria Sadar,0.651235,751.0,Sep 2023,Deoria
4133,Bhatpar Rani,0.579835,835.0,Sep 2023,Deoria
4142,Barhni Bazar,0.583954,834.0,Sep 2023,Siddharth Nagar
4154,Tamkuhi Raj,0.660058,738.0,Sep 2023,Kushinagar
4225,Muzaffarabad,0.747222,401.0,Sep 2023,Saharanpur
4226,Saharanpur (Urban),0.675489,689.0,Sep 2023,Saharanpur
4233,Sikhar,0.744704,414.0,Sep 2023,Mirzapur
4267,Rasulabad,0.765484,295.0,Sep 2023,Kanpur Dehat
4304,Bhagwatpur,0.556103,849.0,Sep 2023,Prayagraj
4338,Chatra,0.758657,335.0,Sep 2023,Sonbhadra
4377,Misrikh,0.755729,349.0,Sep 2023,Sitapur
4385,Reusa,0.704901,596.0,Sep 2023,Sitapur
4430,Badraon,0.683327,669.0,Sep 2023,Maunathbhanjan
4467,Mohammedpur Deomal,0.7271,508.0,Sep 2023,Bijnor
4468,Sangipur,0.66419,728.0,Sep 2023,Pratapgarh
4473,Kunda,0.626135,797.0,Sep 2023,Pratapgarh
4489,Ramnagar,0.736529,455.0,Sep 2023,Basti
4493,Vikram Jot,0.703722,601.0,Sep 2023,Basti
4504,Nagra,0.68767,650.0,Sep 2023,Ballia
4508,Hanumanganj,0.692047,634.0,Sep 2023,Ballia
4540,Jamunaha,0.711933,566.0,Sep 2023,Shrawasti
4598,Bhagyanagar,0.769175,268.0,Sep 2023,Auraiya
4607,Phoolbehar,0.668424,712.0,Sep 2023,Lakhimpur Kheri
4623,Jalalabad,0.711493,569.0,Sep 2023,Kannauj
4643,Ramnagar,0.823332,20.0,Sep 2023,Chitrakoot
4751,Fatehpur (Urban),0.446714,881.0,Sep 2023,Fatehpur
4900,Bhagalpur,0.665312,722.0,Sep 2023,Deoria
4905,Naugarh,0.592219,827.0,Sep 2023,Siddharth Nagar
5664,Sadat,0.531115,856.0,Sep 2023,Ghazipur
7669,Nidhauli Kalan,0.749091,390.0,Sep 2023,Etah
