date,district,district_id,indicator_id,map_id,rank,value
2018-02-01,Sambhal,YzHpzrN0eLv,35,205,3.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,1,205,2.0,94.3847072879331
2018-03-01,Sambhal,YzHpzrN0eLv,2,205,3.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,5,205,6.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,6,205,7.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,9,205,39.0,37.72755806654112
2018-03-01,Sambhal,YzHpzrN0eLv,10,205,52.0,29.0646578782172
2018-03-01,Sambhal,YzHpzrN0eLv,11,205,56.0,22.096672944130567
2018-03-01,Sambhal,YzHpzrN0eLv,14,205,41.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,16,205,41.0,1.4438166980539862
2018-03-01,Sambhal,YzHpzrN0eLv,17,205,,
2018-03-01,Sambhal,YzHpzrN0eLv,18,205,57.0,4.420062695924765
2018-03-01,Sambhal,YzHpzrN0eLv,28,205,1.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,30,205,1.0,0.0
2018-03-01,Sambhal,YzHpzrN0eLv,32,205,59.0,6.979449398991858
2018-03-01,Sambhal,YzHpzrN0eLv,35,205,,
2018-04-01,Sambhal,YzHpzrN0eLv,1,205,6.0,53.050397877984075
2018-04-01,Sambhal,YzHpzrN0eLv,2,205,5.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,5,205,7.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,6,205,9.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,9,205,5.0,85.84825234441603
2018-04-01,Sambhal,YzHpzrN0eLv,10,205,5.0,89.00255754475704
2018-04-01,Sambhal,YzHpzrN0eLv,11,205,26.0,60.27280477408354
2018-04-01,Sambhal,YzHpzrN0eLv,14,205,41.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,16,205,49.0,0.7672634271099744
2018-04-01,Sambhal,YzHpzrN0eLv,17,205,2.0,90.9090909090909
2018-04-01,Sambhal,YzHpzrN0eLv,18,205,31.0,11.307271963009667
2018-04-01,Sambhal,YzHpzrN0eLv,19,205,3.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,20,205,24.0,82.77919863597613
2018-04-01,Sambhal,YzHpzrN0eLv,21,205,39.0,6.308610400682013
2018-04-01,Sambhal,YzHpzrN0eLv,22,205,4.0,0.3410059676044331
2018-04-01,Sambhal,YzHpzrN0eLv,28,205,1.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,30,205,1.0,0.0
2018-04-01,Sambhal,YzHpzrN0eLv,32,205,65.0,8.241639697950378
