subindicator_id,type,period,indicator_type,indicator_name
JY4UIeCYK00,Numerator,monthly,indicator,ANC registration within 1st trimester
qYpFbVo8WsL,Denominator,monthly,indicator,ANC registration within 1st trimester
n5bZeD7f63Q,Numerator,monthly,indicator,% of severe anaemic PW treated
VGmj8dWOIBw,Denominator,monthly,indicator,% of severe anaemic PW treated
VBqOqVKNQCr,Numerator,monthly,indicator,% of new born breastfed within one hour of birth
aknlXIekL1Z,Denominator,monthly,indicator,% of new born breastfed within one hour of birth
qyhm2Egx86Z,Numerator,monthly,indicator,% of live babies weighted at birth
aknlXIekL1Z,Denominator,monthly,indicator,% of live babies weighted at birth
