calc_type,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,year
p,2018-04-01,Prayagraj,tXgaew1Pd2Y,172,Prayagraj Division,delivery_care,% of live babies weighted at birth,indicator_6,175,99.77631854332355,delivery_care,2019
p,2017-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,ANC,% ANC registered in First trimester,indicator_1,174,38.57038524739821,ANC,2018
p,2018-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,ANC,% ANC registered in First trimester,indicator_1,174,39.761707343451455,ANC,2019
p,2017-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,ANC,% of severe anaemic PW treated,indicator_4,174,14.669051878354207,ANC,2018
p,2018-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,ANC,% of severe anaemic PW treated,indicator_4,174,9.370904325032763,ANC,2019
p,2017-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,PNC,% of new born breastfed within one hour of birth,indicator_5,174,94.14743950478336,PNC,2018
p,2018-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,PNC,% of new born breastfed within one hour of birth,indicator_5,174,88.98015267175573,PNC,2019
p,2017-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,delivery_care,% of live babies weighted at birth,indicator_6,174,95.05486775464266,delivery_care,2018
p,2018-04-01,Kaushambi,PAj0oVY0Dxu,172,Prayagraj Division,delivery_care,% of live babies weighted at birth,indicator_6,174,88.806106870229,delivery_care,2019
p,2017-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ANC,% ANC registered in First trimester,indicator_1,195,53.06914546640574,ANC,2018
p,2018-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ANC,% ANC registered in First trimester,indicator_1,195,57.85683760683761,ANC,2019
p,2017-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ANC,% of severe anaemic PW treated,indicator_4,195,19.801980198019802,ANC,2018
p,2018-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,ANC,% of severe anaemic PW treated,indicator_4,195,28.73877391643889,ANC,2019
p,2017-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,indicator_5,195,100.0,PNC,2018
p,2018-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,PNC,% of new born breastfed within one hour of birth,indicator_5,195,98.12131606442327,PNC,2019
p,2017-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,% of live babies weighted at birth,indicator_6,195,99.558403791265,delivery_care,2018
p,2018-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,delivery_care,% of live babies weighted at birth,indicator_6,195,98.3973032113076,delivery_care,2019
p,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,179,46.79967754937525,ANC,2018
p,2018-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,179,61.013053705133494,ANC,2019
p,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,ANC,% of severe anaemic PW treated,indicator_4,179,32.07692307692307,ANC,2018
p,2018-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,ANC,% of severe anaemic PW treated,indicator_4,179,38.84861407249468,ANC,2019
p,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,PNC,% of new born breastfed within one hour of birth,indicator_5,179,98.05692253056671,PNC,2018
p,2018-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,PNC,% of new born breastfed within one hour of birth,indicator_5,179,97.61995534012308,PNC,2019
p,2017-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,% of live babies weighted at birth,indicator_6,179,95.83988635787122,delivery_care,2018
p,2018-04-01,Sultanpur,o4ZQTVcMI7U,176,Ayodhya Division,delivery_care,% of live babies weighted at birth,indicator_6,179,98.62752573389248,delivery_care,2019
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,143,54.56946645536186,ANC,2018
p,2018-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,143,52.40795701534693,ANC,2019
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,ANC,% of severe anaemic PW treated,indicator_4,143,20.31700288184438,ANC,2018
p,2018-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,ANC,% of severe anaemic PW treated,indicator_4,143,25.042789901583227,ANC,2019
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,143,88.33711691259933,PNC,2018
p,2018-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,PNC,% of new born breastfed within one hour of birth,indicator_5,143,93.59218373302879,PNC,2019
p,2017-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,delivery_care,% of live babies weighted at birth,indicator_6,143,87.57094211123724,delivery_care,2018
p,2018-04-01,Aligarh,frD2HOp3wAs,201,Alligarh Division,delivery_care,% of live babies weighted at birth,indicator_6,143,95.04776406184857,delivery_care,2019
p,2017-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,ANC,% ANC registered in First trimester,indicator_1,172,46.08537519142419,ANC,2018
p,2018-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,ANC,% ANC registered in First trimester,indicator_1,172,52.08612416883845,ANC,2019
p,2017-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,ANC,% of severe anaemic PW treated,indicator_4,172,21.160714285714285,ANC,2018
p,2018-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,ANC,% of severe anaemic PW treated,indicator_4,172,27.258370183196448,ANC,2019
p,2017-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,PNC,% of new born breastfed within one hour of birth,indicator_5,172,94.79307677431831,PNC,2018
p,2018-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,PNC,% of new born breastfed within one hour of birth,indicator_5,172,95.5219919415157,PNC,2019
p,2017-04-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,delivery_care,% of live babies weighted at birth,indicator_6,172,97.60201121639915,delivery_care,2018
