block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Amaniganj,pYWjwOoijbJ,p,2019-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,45.645645645645644,1,ANC,2020
Amaniganj,pYWjwOoijbJ,p,2019-07-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,56.382145653876286,2,ANC,2020
Amaniganj,pYWjwOoijbJ,p,2019-10-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ANC,% ANC registered in First trimester,indicator_1,56.58396946564886,3,ANC,2020
Jaithra,mK3aOsGURLr,p,2017-10-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,41.00274725274725,3,ANC,2018
Jaithra,mK3aOsGURLr,p,2018-01-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,50.33632286995515,4,ANC,2018
Jaithra,mK3aOsGURLr,p,2018-04-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,49.44873208379271,1,ANC,2019
Jaithra,mK3aOsGURLr,p,2018-07-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,48.199309324124314,2,ANC,2019
Jaithra,mK3aOsGURLr,p,2018-10-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,52.12121212121213,3,ANC,2019
Jaithra,mK3aOsGURLr,p,2019-01-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,56.3743551952837,4,ANC,2019
Jaithra,mK3aOsGURLr,p,2019-04-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,51.69590643274854,1,ANC,2020
Jaithra,mK3aOsGURLr,p,2019-07-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,53.1893520843797,2,ANC,2020
Jaithra,mK3aOsGURLr,p,2019-10-01,Etah,ZLcx4iOVyN5,Alligarh Division,ANC,% ANC registered in First trimester,indicator_1,53.68829728230726,3,ANC,2020
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2017-10-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,26.903914590747327,3,ANC,2018
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2018-01-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,31.071703932151127,4,ANC,2018
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2018-04-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,61.704312114989726,1,ANC,2019
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2018-07-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,47.88079470198676,2,ANC,2019
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2018-10-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,55.89142504626774,3,ANC,2019
Muzaffarnagar Purkaji,kE3pd8aET6C,p,2019-01-01,Muzaffarnagar,MVQs2RrS1Nw,Saharanpur Division,ANC,% ANC registered in First trimester,indicator_1,71.20418848167539,4,ANC,2019
