date,block,block_id,subindicator_id,value,quarter,year,sub_id,calc_type,map_id,district,district_id,indicator_id_var,block_id_num,indicator_id
2023-09-01,Asafpur,A8jhC64rvlS,aRueVYr35yM.Ti9FJqkSK6J,231.0,2.0,2024.0,36b,p,173.0,Budaun,eA37kyBRRuZ,indicator_36,183,36
2023-09-01,Asafpur,A8jhC64rvlS,ixBYYYjxXPP,197.0,2.0,2024.0,36a,p,173.0,Budaun,eA37kyBRRuZ,indicator_36,183,36
2023-09-01,Asafpur,A8jhC64rvlS,ui45G8KwpzU.Ti9FJqkSK6J,711.0,2.0,2024.0,2a,p,173.0,Budaun,eA37kyBRRuZ,indicator_2,183,2
2023-09-01,Asafpur,A8jhC64rvlS,GJKYhq2wR9L,581.0,2.0,2024.0,7a,p,173.0,Budaun,eA37kyBRRuZ,indicator_7,183,7
2023-09-01,Asafpur,A8jhC64rvlS,NI0EC5no6PO,655.0,2.0,2024.0,10a,p,173.0,Budaun,eA37kyBRRuZ,indicator_10,183,10
2023-09-01,Islam Nagar,BU3H8j3vtpl,aRueVYr35yM.Ti9FJqkSK6J,277.0,2.0,2024.0,36b,p,174.0,Budaun,eA37kyBRRuZ,indicator_36,157,36
2023-09-01,Islam Nagar,BU3H8j3vtpl,ixBYYYjxXPP,251.0,2.0,2024.0,36a,p,174.0,Budaun,eA37kyBRRuZ,indicator_36,157,36
2023-09-01,Islam Nagar,BU3H8j3vtpl,ui45G8KwpzU.Ti9FJqkSK6J,593.0,2.0,2024.0,2a,p,174.0,Budaun,eA37kyBRRuZ,indicator_2,157,2
2023-09-01,Islam Nagar,BU3H8j3vtpl,GJKYhq2wR9L,584.0,2.0,2024.0,7a,p,174.0,Budaun,eA37kyBRRuZ,indicator_7,157,7
2023-09-01,Islam Nagar,BU3H8j3vtpl,NI0EC5no6PO,606.0,2.0,2024.0,10a,p,174.0,Budaun,eA37kyBRRuZ,indicator_10,157,10
2023-09-01,Ujhani,EjPcZNiYzP2,aRueVYr35yM.Ti9FJqkSK6J,351.0,2.0,2024.0,36b,p,182.0,Budaun,eA37kyBRRuZ,indicator_36,719,36
2023-09-01,Ujhani,EjPcZNiYzP2,ixBYYYjxXPP,0.0,2.0,2024.0,36a,p,182.0,Budaun,eA37kyBRRuZ,indicator_36,719,36
2023-09-01,Ujhani,EjPcZNiYzP2,ui45G8KwpzU.Ti9FJqkSK6J,784.0,2.0,2024.0,2a,p,182.0,Budaun,eA37kyBRRuZ,indicator_2,719,2
2023-09-01,Ujhani,EjPcZNiYzP2,GJKYhq2wR9L,793.0,2.0,2024.0,7a,p,182.0,Budaun,eA37kyBRRuZ,indicator_7,719,7
2023-09-01,Ujhani,EjPcZNiYzP2,NI0EC5no6PO,969.0,2.0,2024.0,10a,p,182.0,Budaun,eA37kyBRRuZ,indicator_10,719,10
2023-09-01,Bilsi,FBjTmOT2uLU,aRueVYr35yM.Ti9FJqkSK6J,425.0,2.0,2024.0,36b,p,178.0,Budaun,eA37kyBRRuZ,indicator_36,838,36
2023-09-01,Bilsi,FBjTmOT2uLU,ixBYYYjxXPP,430.0,2.0,2024.0,36a,p,178.0,Budaun,eA37kyBRRuZ,indicator_36,838,36
2023-09-01,Bilsi,FBjTmOT2uLU,ui45G8KwpzU.Ti9FJqkSK6J,715.0,2.0,2024.0,2a,p,178.0,Budaun,eA37kyBRRuZ,indicator_2,838,2
2023-09-01,Bilsi,FBjTmOT2uLU,GJKYhq2wR9L,612.0,2.0,2024.0,7a,p,178.0,Budaun,eA37kyBRRuZ,indicator_7,838,7
2023-09-01,Bilsi,FBjTmOT2uLU,NI0EC5no6PO,1144.0,2.0,2024.0,10a,p,178.0,Budaun,eA37kyBRRuZ,indicator_10,838,10
2023-09-01,Usawan,HJ6IPhQigva,aRueVYr35yM.Ti9FJqkSK6J,496.0,2.0,2024.0,36b,p,187.0,Budaun,eA37kyBRRuZ,indicator_36,695,36
2023-09-01,Usawan,HJ6IPhQigva,ixBYYYjxXPP,0.0,2.0,2024.0,36a,p,187.0,Budaun,eA37kyBRRuZ,indicator_36,695,36
2023-09-01,Usawan,HJ6IPhQigva,ui45G8KwpzU.Ti9FJqkSK6J,570.0,2.0,2024.0,2a,p,187.0,Budaun,eA37kyBRRuZ,indicator_2,695,2
2023-09-01,Usawan,HJ6IPhQigva,GJKYhq2wR9L,483.0,2.0,2024.0,7a,p,187.0,Budaun,eA37kyBRRuZ,indicator_7,695,7
2023-09-01,Usawan,HJ6IPhQigva,NI0EC5no6PO,579.0,2.0,2024.0,10a,p,187.0,Budaun,eA37kyBRRuZ,indicator_10,695,10
2023-09-01,Bisauli,MWJyDwqvBqS,aRueVYr35yM.Ti9FJqkSK6J,307.0,2.0,2024.0,36b,p,175.0,Budaun,eA37kyBRRuZ,indicator_36,398,36
2023-09-01,Bisauli,MWJyDwqvBqS,ixBYYYjxXPP,290.0,2.0,2024.0,36a,p,175.0,Budaun,eA37kyBRRuZ,indicator_36,398,36
2023-09-01,Bisauli,MWJyDwqvBqS,ui45G8KwpzU.Ti9FJqkSK6J,643.0,2.0,2024.0,2a,p,175.0,Budaun,eA37kyBRRuZ,indicator_2,398,2
2023-09-01,Bisauli,MWJyDwqvBqS,GJKYhq2wR9L,653.0,2.0,2024.0,7a,p,175.0,Budaun,eA37kyBRRuZ,indicator_7,398,7
2023-09-01,Bisauli,MWJyDwqvBqS,NI0EC5no6PO,621.0,2.0,2024.0,10a,p,175.0,Budaun,eA37kyBRRuZ,indicator_10,398,10
2023-09-01,Binawar,QdKW8E0HxRg,aRueVYr35yM.Ti9FJqkSK6J,497.0,2.0,2024.0,36b,p,,Budaun,eA37kyBRRuZ,indicator_36,880,36
2023-09-01,Binawar,QdKW8E0HxRg,ixBYYYjxXPP,239.0,2.0,2024.0,36a,p,,Budaun,eA37kyBRRuZ,indicator_36,880,36
2023-09-01,Binawar,QdKW8E0HxRg,ui45G8KwpzU.Ti9FJqkSK6J,638.0,2.0,2024.0,2a,p,,Budaun,eA37kyBRRuZ,indicator_2,880,2
2023-09-01,Binawar,QdKW8E0HxRg,GJKYhq2wR9L,510.0,2.0,2024.0,7a,p,,Budaun,eA37kyBRRuZ,indicator_7,880,7
2023-09-01,Binawar,QdKW8E0HxRg,NI0EC5no6PO,1662.0,2.0,2024.0,10a,p,,Budaun,eA37kyBRRuZ,indicator_10,880,10
2023-09-01,Sahaswan,QsfJqnMcwds,aRueVYr35yM.Ti9FJqkSK6J,694.0,2.0,2024.0,36b,p,177.0,Budaun,eA37kyBRRuZ,indicator_36,335,36
2023-09-01,Sahaswan,QsfJqnMcwds,ixBYYYjxXPP,451.0,2.0,2024.0,36a,p,177.0,Budaun,eA37kyBRRuZ,indicator_36,335,36
2023-09-01,Sahaswan,QsfJqnMcwds,ui45G8KwpzU.Ti9FJqkSK6J,982.0,2.0,2024.0,2a,p,177.0,Budaun,eA37kyBRRuZ,indicator_2,335,2
2023-09-01,Sahaswan,QsfJqnMcwds,GJKYhq2wR9L,865.0,2.0,2024.0,7a,p,177.0,Budaun,eA37kyBRRuZ,indicator_7,335,7
2023-09-01,Sahaswan,QsfJqnMcwds,NI0EC5no6PO,973.0,2.0,2024.0,10a,p,177.0,Budaun,eA37kyBRRuZ,indicator_10,335,10
2023-09-01,Samrer,Wa8qn4d8H22,aRueVYr35yM.Ti9FJqkSK6J,254.0,2.0,2024.0,36b,p,184.0,Budaun,eA37kyBRRuZ,indicator_36,103,36
2023-09-01,Samrer,Wa8qn4d8H22,ui45G8KwpzU.Ti9FJqkSK6J,475.0,2.0,2024.0,2a,p,184.0,Budaun,eA37kyBRRuZ,indicator_2,103,2
2023-09-01,Samrer,Wa8qn4d8H22,GJKYhq2wR9L,402.0,2.0,2024.0,7a,p,184.0,Budaun,eA37kyBRRuZ,indicator_7,103,7
2023-09-01,Samrer,Wa8qn4d8H22,NI0EC5no6PO,521.0,2.0,2024.0,10a,p,184.0,Budaun,eA37kyBRRuZ,indicator_10,103,10
2023-09-01,Dataganj,YbOAqVBdm86,aRueVYr35yM.Ti9FJqkSK6J,449.0,2.0,2024.0,36b,p,185.0,Budaun,eA37kyBRRuZ,indicator_36,541,36
2023-09-01,Dataganj,YbOAqVBdm86,ixBYYYjxXPP,222.0,2.0,2024.0,36a,p,185.0,Budaun,eA37kyBRRuZ,indicator_36,541,36
2023-09-01,Dataganj,YbOAqVBdm86,ui45G8KwpzU.Ti9FJqkSK6J,587.0,2.0,2024.0,2a,p,185.0,Budaun,eA37kyBRRuZ,indicator_2,541,2
2023-09-01,Dataganj,YbOAqVBdm86,GJKYhq2wR9L,545.0,2.0,2024.0,7a,p,185.0,Budaun,eA37kyBRRuZ,indicator_7,541,7
2023-09-01,Dataganj,YbOAqVBdm86,NI0EC5no6PO,578.0,2.0,2024.0,10a,p,185.0,Budaun,eA37kyBRRuZ,indicator_10,541,10
2023-09-01,Qaderchowk,aDSCuqsggsN,aRueVYr35yM.Ti9FJqkSK6J,253.0,2.0,2024.0,36b,p,183.0,Budaun,eA37kyBRRuZ,indicator_36,226,36
2023-09-01,Qaderchowk,aDSCuqsggsN,ixBYYYjxXPP,150.0,2.0,2024.0,36a,p,183.0,Budaun,eA37kyBRRuZ,indicator_36,226,36
2023-09-01,Qaderchowk,aDSCuqsggsN,ui45G8KwpzU.Ti9FJqkSK6J,544.0,2.0,2024.0,2a,p,183.0,Budaun,eA37kyBRRuZ,indicator_2,226,2
2023-09-01,Qaderchowk,aDSCuqsggsN,GJKYhq2wR9L,461.0,2.0,2024.0,7a,p,183.0,Budaun,eA37kyBRRuZ,indicator_7,226,7
2023-09-01,Qaderchowk,aDSCuqsggsN,NI0EC5no6PO,330.0,2.0,2024.0,10a,p,183.0,Budaun,eA37kyBRRuZ,indicator_10,226,10
2023-09-01,Budaun DHQ,i8KzqsutvXl,aRueVYr35yM.Ti9FJqkSK6J,3440.0,2.0,2024.0,36b,p,,Budaun,eA37kyBRRuZ,indicator_36,223,36
2023-09-01,Budaun DHQ,i8KzqsutvXl,ixBYYYjxXPP,574.0,2.0,2024.0,36a,p,,Budaun,eA37kyBRRuZ,indicator_36,223,36
2023-09-01,Budaun DHQ,i8KzqsutvXl,aRueVYr35yM.Ti9FJqkSK6J,704.0,2.0,2024.0,36b,p,,Budaun,eA37kyBRRuZ,indicator_36,223,36
2023-09-01,Budaun DHQ,i8KzqsutvXl,ui45G8KwpzU.Ti9FJqkSK6J,977.0,2.0,2024.0,2a,p,,Budaun,eA37kyBRRuZ,indicator_2,223,2
2023-09-01,Budaun DHQ,i8KzqsutvXl,GJKYhq2wR9L,871.0,2.0,2024.0,7a,p,,Budaun,eA37kyBRRuZ,indicator_7,223,7
2023-09-01,Budaun DHQ,i8KzqsutvXl,NI0EC5no6PO,1234.0,2.0,2024.0,10a,p,,Budaun,eA37kyBRRuZ,indicator_10,223,10
2023-09-01,Miaoon,n0U0QMMNJZe,aRueVYr35yM.Ti9FJqkSK6J,374.0,2.0,2024.0,36b,p,186.0,Budaun,eA37kyBRRuZ,indicator_36,520,36
2023-09-01,Miaoon,n0U0QMMNJZe,ixBYYYjxXPP,185.0,2.0,2024.0,36a,p,186.0,Budaun,eA37kyBRRuZ,indicator_36,520,36
2023-09-01,Miaoon,n0U0QMMNJZe,ui45G8KwpzU.Ti9FJqkSK6J,814.0,2.0,2024.0,2a,p,186.0,Budaun,eA37kyBRRuZ,indicator_2,520,2
2023-09-01,Miaoon,n0U0QMMNJZe,GJKYhq2wR9L,670.0,2.0,2024.0,7a,p,186.0,Budaun,eA37kyBRRuZ,indicator_7,520,7
2023-09-01,Miaoon,n0U0QMMNJZe,NI0EC5no6PO,1385.0,2.0,2024.0,10a,p,186.0,Budaun,eA37kyBRRuZ,indicator_10,520,10
2023-09-01,Jagat,wQ2zvEh08Xs,aRueVYr35yM.Ti9FJqkSK6J,79.0,2.0,2024.0,36b,p,181.0,Budaun,eA37kyBRRuZ,indicator_36,282,36
2023-09-01,Jagat,wQ2zvEh08Xs,ixBYYYjxXPP,0.0,2.0,2024.0,36a,p,181.0,Budaun,eA37kyBRRuZ,indicator_36,282,36
2023-09-01,Jagat,wQ2zvEh08Xs,ui45G8KwpzU.Ti9FJqkSK6J,630.0,2.0,2024.0,2a,p,181.0,Budaun,eA37kyBRRuZ,indicator_2,282,2
