date,district,district_id,sub_indicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id_var,district_id_num,division_id,division_id_num,indicator_id,sub_indicator_type
2023-09-01,Aligarh,frD2HOp3wAs,GXgfTS67qxe.Ti9FJqkSK6J,1250.0,2.0,2024,10b,p,Alligarh Division,201,143,indicator_10,68,ewmZucZw6qh,6,10,Denominator
2023-09-01,Sonbhadra,NNk3JP90QZ5,ixBYYYjxXPP,1840.0,2.0,2024,36a,p,Mirzapur Division,200,200,indicator_36,73,B5Cr0KNsqMm,3,36,Numerator
2023-09-01,Sonbhadra,NNk3JP90QZ5,aRueVYr35yM.Ti9FJqkSK6J,3698.0,2.0,2024,36b,p,Mirzapur Division,200,200,indicator_36,73,B5Cr0KNsqMm,3,36,Denominator
2023-09-01,Sonbhadra,NNk3JP90QZ5,dwGorjVGkD9,20.1,2.0,2024,35a,p,Mirzapur Division,200,200,indicator_35,73,B5Cr0KNsqMm,3,35,Numerator
2023-09-01,Sonbhadra,NNk3JP90QZ5,m7ggqyMXhyL,92.2,2.0,2024,37a,p,Mirzapur Division,200,200,indicator_37,73,B5Cr0KNsqMm,3,37,Numerator
2023-09-01,Sonbhadra,NNk3JP90QZ5,indicator_2a,3176.0,2.0,2024,2a,p,Mirzapur Division,200,200,indicator_2,73,B5Cr0KNsqMm,3,2,Numerator
2023-09-01,Sonbhadra,NNk3JP90QZ5,GJKYhq2wR9L,4564.0,2.0,2024,7a,p,Mirzapur Division,200,200,indicator_7,73,B5Cr0KNsqMm,3,7,Numerator
2023-09-01,Sonbhadra,NNk3JP90QZ5,B2A7x36qEry.Ti9FJqkSK6J,2447.0,2.0,2024,10a,p,Mirzapur Division,200,200,indicator_10,73,B5Cr0KNsqMm,3,10,Numerator
2023-09-01,Sonbhadra,NNk3JP90QZ5,GXgfTS67qxe.Ti9FJqkSK6J,308.0,2.0,2024,10b,p,Mirzapur Division,200,200,indicator_10,73,B5Cr0KNsqMm,3,10,Denominator
2023-09-01,Auraiya,Bd6E8zkVvVt,ixBYYYjxXPP,1291.0,2.0,2024,36a,p,Kanpur Nagar Division,161,162,indicator_36,26,qTT8nTiU0SH,17,36,Numerator
2023-09-01,Auraiya,Bd6E8zkVvVt,aRueVYr35yM.Ti9FJqkSK6J,1841.0,2.0,2024,36b,p,Kanpur Nagar Division,161,162,indicator_36,26,qTT8nTiU0SH,17,36,Denominator
2023-09-01,Auraiya,Bd6E8zkVvVt,dwGorjVGkD9,18.6,2.0,2024,35a,p,Kanpur Nagar Division,161,162,indicator_35,26,qTT8nTiU0SH,17,35,Numerator
2023-09-01,Auraiya,Bd6E8zkVvVt,m7ggqyMXhyL,87.9,2.0,2024,37a,p,Kanpur Nagar Division,161,162,indicator_37,26,qTT8nTiU0SH,17,37,Numerator
2023-09-01,Auraiya,Bd6E8zkVvVt,indicator_2a,1841.0,2.0,2024,2a,p,Kanpur Nagar Division,161,162,indicator_2,26,qTT8nTiU0SH,17,2,Numerator
2023-09-01,Auraiya,Bd6E8zkVvVt,GJKYhq2wR9L,3522.0,2.0,2024,7a,p,Kanpur Nagar Division,161,162,indicator_7,26,qTT8nTiU0SH,17,7,Numerator
