block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,quarter,type_name,year,block_id_num,district_id_num
Naraynpur,cGCEhMelufW,p,2023-07-01,Mirzapur,UAicdMLyuk4,,JSY,% JSY Incentive,36,0.0845771144278607,2,JSY,2024,689,20
Laxmanpur,loZ8Meaktfa,p,2023-07-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.26618705035971224,2,JSY,2024,614,3
Ghazipur Mahmudabad,ISeQXIbXref,p,2023-07-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.4839622641509434,2,JSY,2024,413,67
Chandauli DHQ,kqqVceYxMn2,p,2023-07-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.28392330383480824,2,JSY,2024,792,61
Bulandshahar Danpur,RyFHMa78ezE,p,2023-07-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,1.0,2,JSY,2024,746,52
Khutar,ROeKhlePe7w,p,2023-07-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.9976851851851852,2,JSY,2024,114,28
Sant Ravidas Nagar Deegh,RT2WzsnRZJi,p,2023-07-01,Bhadohi,PeUY1vj02UQ,,JSY,% JSY Incentive,36,0.9968051118210862,2,JSY,2024,155,50
Rae Bareli Deenshah Gaura,Sk3orHKxNQG,p,2023-07-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.5251798561151079,2,JSY,2024,913,59
Shargarh,FjccMEGL0Hr,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.40110650069156295,2,JSY,2024,148,56
Deoria Rampur Karkhna,S0dqgoK82zn,p,2023-07-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.9966722129783694,2,JSY,2024,635,19
Kushinagar Kaptanganj,YIfO8FmqA6j,p,2023-07-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.5202444614209321,2,JSY,2024,85,9
Poora Bazar,JOYvKXzcb8E,p,2023-07-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.603415559772296,2,JSY,2024,492,69
Dataganj,YbOAqVBdm86,p,2023-07-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.530161427357689,2,JSY,2024,541,58
Sarojninagar,ciUK1Y4Eaxf,p,2023-07-01,Lucknow,MfHac5N78aK,,JSY,% JSY Incentive,36,0.6257309941520468,2,JSY,2024,651,53
Haisar Bazar,K98xeQTVavi,p,2023-07-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,150,11
Azamgarh Mirzapur,bYn0jt3AvMQ,p,2023-07-01,Azamgarh,NjckKfm3g0k,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,55,14
Nawabganj,BWxu1bDp2ht,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.980309423347398,2,JSY,2024,776,56
Mohamudabad,grxxI8LtNsw,p,2023-07-01,Farrukhabad,uEEwlAGZXWW,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,379,49
Gorakhpur DHQ,oER6x75izaS,p,2023-07-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.5571151984511132,2,JSY,2024,567,45
Pilibhit DHQ,Ez4mS8TGHyp,p,2023-07-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.32908847184986595,2,JSY,2024,866,29
Sidhouli,RWbJEn9kMN0,p,2023-07-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.3690685413005272,2,JSY,2024,469,28
Bisauli,MWJyDwqvBqS,p,2023-07-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.9414414414414416,2,JSY,2024,398,58
Baharia,TcWp3YBgjTX,p,2023-07-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,133,34
Harakh,zM7L5Up3Rp4,p,2023-07-01,Barabanki,tzH6nJu9SwS,,JSY,% JSY Incentive,36,0.2020725388601036,2,JSY,2024,328,41
C S M Nagar Musafirkhana,rpRvuw2Iiug,p,2023-07-01,Amethi,StsLkYw1G0m,,JSY,% JSY Incentive,36,1.1355633802816902,2,JSY,2024,21,75
Faridpur,Hi4F69xrBS5,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,1.1813063063063065,2,JSY,2024,565,56
Lucknow DHQ,NyYp5W4XZfR,p,2023-07-01,Lucknow,MfHac5N78aK,,JSY,% JSY Incentive,36,0.3849215122706168,2,JSY,2024,228,53
Chobeypur,EbQXwXsACBg,p,2023-07-01,Kanpur Nagar,QVMRMhzVrrS,,JSY,% JSY Incentive,36,0.7521663778162911,2,JSY,2024,835,65
Umarda,QlnYDSaHYHx,p,2023-07-01,Kannauj,IhQbDYRiF8w,,JSY,% JSY Incentive,36,0.6555023923444976,2,JSY,2024,4,73
Balrampur,HkZSq61JwqL,p,2023-07-01,Balrampur,uS0pNSxN3sS,,JSY,% JSY Incentive,36,0.17659352142110762,2,JSY,2024,844,72
Rae Bareli Jagatpur,yFYFE5vVAAA,p,2023-07-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.9724310776942356,2,JSY,2024,221,59
Majhganwa,XmU9noLyhIA,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.7943368107302533,2,JSY,2024,187,56
Jalalpur,OmRJBPDSih0,p,2023-07-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,0.9010011123470524,2,JSY,2024,298,54
Kushinagar Ramkola,XZ4UCP8boX8,p,2023-07-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,467,9
Iglas,XYBTVZE0LeN,p,2023-07-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.5837320574162679,2,JSY,2024,295,44
Bulandshahar Uncha gaon,vlW7Ky7ubGA,p,2023-07-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,291,52
Khlilabad,Go3zUv1lOWw,p,2023-07-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.4758942457231726,2,JSY,2024,146,11
Jalaun Nadigaun,S5qj59ohege,p,2023-07-01,Jalaun,NL5xiiHZQSC,,JSY,% JSY Incentive,36,0.1836734693877551,2,JSY,2024,44,4
Dostpur,AGFzimgfzIo,p,2023-07-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.7320754716981132,2,JSY,2024,487,40
Ghorahawal,Cea63kQpiOw,p,2023-07-01,Sonbhadra,NNk3JP90QZ5,,JSY,% JSY Incentive,36,0.29178007621121393,2,JSY,2024,137,74
Persendi,qyrJ0VLceRJ,p,2023-07-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,0.4983633387888707,2,JSY,2024,415,60
Skiit,H5UJopTvZPy,p,2023-07-01,Etah,ZLcx4iOVyN5,,JSY,% JSY Incentive,36,0.2769607843137255,2,JSY,2024,267,21
Tajpur,ETOgxiqqzTT,p,2023-07-01,Moradabad,YQNQoPjAIpV,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,307,51
Bulandshahar Sikandrabad,IjocfjQxUOy,p,2023-07-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,0.8877551020408163,2,JSY,2024,60,52
Babaganj,yepP1LEwWeE,p,2023-07-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.8387850467289719,2,JSY,2024,730,3
Deoria Barhaz,E5A2kSTc3PM,p,2023-07-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.0,2,JSY,2024,301,19
Bhojipura,m5Tn9LTc2Dy,p,2023-07-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.7472527472527473,2,JSY,2024,184,56
Jogia,SCLwreLwByy,p,2023-07-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.8037135278514589,2,JSY,2024,426,1
Ghughali,pNfKKA9YCVD,p,2023-07-01,Maharajganj,AcnMkNGgc3S,,JSY,% JSY Incentive,36,0.9718468468468467,2,JSY,2024,731,10
Auraiya Ajitmal,guhyL5WpMTF,p,2023-07-01,Auraiya,Bd6E8zkVvVt,,JSY,% JSY Incentive,36,0.9375866851595008,2,JSY,2024,528,37
Koraon,snr8f1gc8vd,p,2023-07-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.4190672153635117,2,JSY,2024,145,34
Bhiyaon,KZ9A7NuGOta,p,2023-07-01,Ambedkar Nagar,jM27ji8tyrM,,JSY,% JSY Incentive,36,0.04692891649413389,2,JSY,2024,162,8
Agra Etmadpur,xiUPA06ix22,p,2023-07-01,Agra,N5WWbRtsjWp,,JSY,% JSY Incentive,36,0.9236363636363636,2,JSY,2024,663,12
Meerut Jani Khurd,Sl9Xsytpbd8,p,2023-07-01,Meerut,v8YGmR7nOdj,,JSY,% JSY Incentive,36,0.8947368421052632,2,JSY,2024,156,30
Ghazipur Sadar,VivEa0lrJEt,p,2023-07-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.13320825515947468,2,JSY,2024,411,67
Simbhaoli,mSef7qX2gGM,p,2023-07-01,Hapur,CZ8kLjgqvSH,,JSY,% JSY Incentive,36,0.4307692307692308,2,JSY,2024,511,46
Mathura Mathura,gucZ0cBoa0r,p,2023-07-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.44851657940663175,2,JSY,2024,741,24
