block_name,block_id,calc_type,date,district,district_id,division,domain_name,indicator_name,indicator_id,perc_point,type_name,year,block_id_num,district_id_num
Ghazipur Mahmudabad,ISeQXIbXref,p,2022-04-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.32656376929325753,JSY,2023.0,413,67
Chandauli DHQ,kqqVceYxMn2,p,2022-04-01,Chandauli,ClbehnmwSec,,JSY,% JSY Incentive,36,0.4609438567941416,JSY,2023.0,792,61
Bulandshahar Danpur,RyFHMa78ezE,p,2022-04-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,1.0,JSY,2023.0,746,52
Khutar,ROeKhlePe7w,p,2022-04-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.6806722689075629,JSY,2023.0,114,28
Sant Ravidas Nagar Deegh,RT2WzsnRZJi,p,2022-04-01,Bhadohi,PeUY1vj02UQ,,JSY,% JSY Incentive,36,1.0370492887859741,JSY,2023.0,155,50
Shargarh,FjccMEGL0Hr,p,2022-04-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.19186046511627908,JSY,2023.0,148,56
Deoria Rampur Karkhna,S0dqgoK82zn,p,2022-04-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,1.066360052562418,JSY,2023.0,635,19
Kushinagar Kaptanganj,YIfO8FmqA6j,p,2022-04-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.09126671911880407,JSY,2023.0,85,9
Poora Bazar,JOYvKXzcb8E,p,2022-04-01,Ayodhya,b4XkXzoGqFY,,JSY,% JSY Incentive,36,0.5124688279301746,JSY,2023.0,492,69
Dataganj,YbOAqVBdm86,p,2022-04-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,0.5967320261437908,JSY,2023.0,541,58
Haisar Bazar,K98xeQTVavi,p,2022-04-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.1531232725262576,JSY,2023.0,150,11
Nawabganj,BWxu1bDp2ht,p,2022-04-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,1.121026213050753,JSY,2023.0,776,56
Mohamudabad,grxxI8LtNsw,p,2022-04-01,Farrukhabad,uEEwlAGZXWW,,JSY,% JSY Incentive,36,0.07017543859649122,JSY,2023.0,379,49
Gorakhpur DHQ,oER6x75izaS,p,2022-04-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.11266430210723972,JSY,2023.0,567,45
Pilibhit DHQ,Ez4mS8TGHyp,p,2022-04-01,Pilibhit,c96jwckSd6j,,JSY,% JSY Incentive,36,0.25409179352180383,JSY,2023.0,866,29
Rae Bareli Amawa,pvZgEadkY59,p,2022-04-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,0.9773936170212766,JSY,2023.0,807,59
Sidhouli,RWbJEn9kMN0,p,2022-04-01,Shahjahanpur,GaiLSoQq1ue,,JSY,% JSY Incentive,36,0.4514024787997391,JSY,2023.0,469,28
Bisauli,MWJyDwqvBqS,p,2022-04-01,Budaun,eA37kyBRRuZ,,JSY,% JSY Incentive,36,1.124253933803581,JSY,2023.0,398,58
Baharia,TcWp3YBgjTX,p,2022-04-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.0,JSY,2023.0,133,34
Harakh,zM7L5Up3Rp4,p,2022-04-01,Barabanki,tzH6nJu9SwS,,JSY,% JSY Incentive,36,0.7341996455995274,JSY,2023.0,328,41
C S M Nagar Musafirkhana,rpRvuw2Iiug,p,2022-04-01,Amethi,StsLkYw1G0m,,JSY,% JSY Incentive,36,0.9346622369878184,JSY,2023.0,21,75
Lucknow DHQ,NyYp5W4XZfR,p,2022-04-01,Lucknow,MfHac5N78aK,,JSY,% JSY Incentive,36,0.161700696006897,JSY,2023.0,228,53
Chobeypur,EbQXwXsACBg,p,2022-04-01,Kanpur Nagar,QVMRMhzVrrS,,JSY,% JSY Incentive,36,0.8382066276803118,JSY,2023.0,835,65
Umarda,QlnYDSaHYHx,p,2022-04-01,Kannauj,IhQbDYRiF8w,,JSY,% JSY Incentive,36,0.597871235721703,JSY,2023.0,4,73
Balrampur,HkZSq61JwqL,p,2022-04-01,Balrampur,uS0pNSxN3sS,,JSY,% JSY Incentive,36,0.16937653526728272,JSY,2023.0,844,72
Rae Bareli Jagatpur,yFYFE5vVAAA,p,2022-04-01,Rae Bareli,lLvTDpBDY8u,,JSY,% JSY Incentive,36,1.0019398642095054,JSY,2023.0,221,59
Majhganwa,XmU9noLyhIA,p,2022-04-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,2.563106796116505,JSY,2023.0,187,56
Jalalpur,OmRJBPDSih0,p,2022-04-01,Jaunpur,gmw76vAUMqz,,JSY,% JSY Incentive,36,0.9847738468428124,JSY,2023.0,298,54
Kushinagar Ramkola,XZ4UCP8boX8,p,2022-04-01,Kushinagar,xUeHwd9FQkg,,JSY,% JSY Incentive,36,0.5469458987783595,JSY,2023.0,467,9
Khorabar,Yz8M2ESnoFT,p,2022-04-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.0,JSY,2023.0,175,45
Iglas,XYBTVZE0LeN,p,2022-04-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.5031010580080263,JSY,2023.0,295,44
Bulandshahar Uncha gaon,vlW7Ky7ubGA,p,2022-04-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,0.0,JSY,2023.0,291,52
Khlilabad,Go3zUv1lOWw,p,2022-04-01,Sant Kabir Nagar,fe1yBApr2sl,,JSY,% JSY Incentive,36,0.97224709042077,JSY,2023.0,146,11
Jalaun Nadigaun,S5qj59ohege,p,2022-04-01,Jalaun,NL5xiiHZQSC,,JSY,% JSY Incentive,36,0.2581818181818182,JSY,2023.0,44,4
Dostpur,AGFzimgfzIo,p,2022-04-01,Sultanpur,o4ZQTVcMI7U,,JSY,% JSY Incentive,36,0.6746411483253588,JSY,2023.0,487,40
Ghorahawal,Cea63kQpiOw,p,2022-04-01,Sonbhadra,NNk3JP90QZ5,,JSY,% JSY Incentive,36,0.8575383304940375,JSY,2023.0,137,74
Persendi,qyrJ0VLceRJ,p,2022-04-01,Sitapur,XxaOowFtkiJ,,JSY,% JSY Incentive,36,1.0,JSY,2023.0,415,60
Skiit,H5UJopTvZPy,p,2022-04-01,Etah,ZLcx4iOVyN5,,JSY,% JSY Incentive,36,0.5100980957876514,JSY,2023.0,267,21
Tajpur,ETOgxiqqzTT,p,2022-04-01,Moradabad,YQNQoPjAIpV,,JSY,% JSY Incentive,36,0.2013274336283186,JSY,2023.0,307,51
Bulandshahar Sikandrabad,IjocfjQxUOy,p,2022-04-01,Bulandshahar,ogBt4gWCiem,,JSY,% JSY Incentive,36,1.1665325824617858,JSY,2023.0,60,52
Babaganj,yepP1LEwWeE,p,2022-04-01,Pratapgarh,fz7bJo3egPX,,JSY,% JSY Incentive,36,0.7300085984522786,JSY,2023.0,730,3
Deoria Barhaz,E5A2kSTc3PM,p,2022-04-01,Deoria,Tf9b9qcbghH,,JSY,% JSY Incentive,36,0.21914509331727874,JSY,2023.0,301,19
Bhojipura,m5Tn9LTc2Dy,p,2022-04-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,3.345744680851064,JSY,2023.0,184,56
Jogia,SCLwreLwByy,p,2022-04-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.7761989342806395,JSY,2023.0,426,1
Ghughali,pNfKKA9YCVD,p,2022-04-01,Maharajganj,AcnMkNGgc3S,,JSY,% JSY Incentive,36,0.6946884148891677,JSY,2023.0,731,10
Auraiya Ajitmal,guhyL5WpMTF,p,2022-04-01,Auraiya,Bd6E8zkVvVt,,JSY,% JSY Incentive,36,1.0858536585365854,JSY,2023.0,528,37
Koraon,snr8f1gc8vd,p,2022-04-01,Prayagraj,tXgaew1Pd2Y,,JSY,% JSY Incentive,36,0.5244738708914637,JSY,2023.0,145,34
Bhiyaon,KZ9A7NuGOta,p,2022-04-01,Ambedkar Nagar,jM27ji8tyrM,,JSY,% JSY Incentive,36,0.18911174785100288,JSY,2023.0,162,8
Agra Etmadpur,xiUPA06ix22,p,2022-04-01,Agra,N5WWbRtsjWp,,JSY,% JSY Incentive,36,1.0382797731568998,JSY,2023.0,663,12
Meerut Jani Khurd,Sl9Xsytpbd8,p,2022-04-01,Meerut,v8YGmR7nOdj,,JSY,% JSY Incentive,36,0.7669094693028096,JSY,2023.0,156,30
Ghazipur Sadar,VivEa0lrJEt,p,2022-04-01,Ghazipur,dScWdMRN8PL,,JSY,% JSY Incentive,36,0.12968471148126115,JSY,2023.0,411,67
Simbhaoli,mSef7qX2gGM,p,2022-04-01,Hapur,CZ8kLjgqvSH,,JSY,% JSY Incentive,36,1.0905035054174634,JSY,2023.0,511,46
Mathura Mathura,gucZ0cBoa0r,p,2022-04-01,Mathura,KP2BUB1npih,,JSY,% JSY Incentive,36,0.5177570093457944,JSY,2023.0,741,24
Sohartgarh,fhrJdvxaNc3,p,2022-04-01,Siddharth Nagar,cP0p8qfm3il,,JSY,% JSY Incentive,36,0.560856864654333,JSY,2023.0,445,1
Jawan,nYlhMfttxtb,p,2022-04-01,Aligarh,frD2HOp3wAs,,JSY,% JSY Incentive,36,0.791501976284585,JSY,2023.0,350,44
Mainpuri Barnahal,EeFlmvJs36p,p,2022-04-01,Mainpuri,XBLhrSWGytu,,JSY,% JSY Incentive,36,0.9899623588456712,JSY,2023.0,306,43
Sahjanwa,NEdgkoHIHTS,p,2022-04-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.7875417130144605,JSY,2023.0,384,45
Kudreha,gwFahuoicRH,p,2022-04-01,Basti,J1P16zQEOUT,,JSY,% JSY Incentive,36,0.26712922810060713,JSY,2023.0,237,71
Muzaffarnagar Morna,RAawnADvz9B,p,2022-04-01,Muzaffarnagar,MVQs2RrS1Nw,,JSY,% JSY Incentive,36,0.6034816247582205,JSY,2023.0,440,17
Campierganj,noXyISQsTiJ,p,2022-04-01,Gorakhpur,vR85cHdsw1w,,JSY,% JSY Incentive,36,0.8008761449621664,JSY,2023.0,81,45
Varanasi DHQ,cFRa7gJ9JI1,p,2022-04-01,Varanasi,LeuBT7KfuuA,,JSY,% JSY Incentive,36,0.16677908937605396,JSY,2023.0,260,55
Gunnour,WtDIWivefft,p,2022-04-01,Sambhal,YzHpzrN0eLv,,JSY,% JSY Incentive,36,0.7049640961598501,JSY,2023.0,729,13
Mudia Nawi Bux,pzDsoCMcPwD,p,2022-04-01,Bareilly,vVqY3DPcpHf,,JSY,% JSY Incentive,36,0.2854901960784313,JSY,2023.0,539,56
Hamirpur Dhagwa,X8nyWuBobaz,p,2022-04-01,Hamirpur,VSI7HobT5qL,,JSY,% JSY Incentive,36,0.6373276776246023,JSY,2023.0,333,36
