date,district,district_id,subindicator_id,value,quarter,year,sub_id,calc_type,division,div_map_id,map_id,indicator_id
2023-09-01,Auraiya,Bd6E8zkVvVt,dwGorjVGkD9,18.6,2,2024,35a,p,Kanpur Nagar Division,161,162,indicator_35
2023-09-01,Auraiya,Bd6E8zkVvVt,m7ggqyMXhyL,87.9,2,2024,37a,p,Kanpur Nagar Division,161,162,indicator_37
2023-09-01,Auraiya,Bd6E8zkVvVt,indicator_2a,1841.0,2,2024,2a,p,Kanpur Nagar Division,161,162,indicator_2
2023-09-01,Auraiya,Bd6E8zkVvVt,GJKYhq2wR9L,3522.0,2,2024,7a,p,Kanpur Nagar Division,161,162,indicator_7
2023-09-01,Auraiya,Bd6E8zkVvVt,B2A7x36qEry.Ti9FJqkSK6J,1972.0,2,2024,10a,p,Kanpur Nagar Division,161,162,indicator_10
2023-09-01,Auraiya,Bd6E8zkVvVt,GXgfTS67qxe.Ti9FJqkSK6J,225.0,2,2024,10b,p,Kanpur Nagar Division,161,162,indicator_10
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,ixBYYYjxXPP,1002.0,2,2024,36a,p,Meerut Division,140,141,indicator_36
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,aRueVYr35yM.Ti9FJqkSK6J,5554.0,2,2024,36b,p,Meerut Division,140,141,indicator_36
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,dwGorjVGkD9,18.7,2,2024,35a,p,Meerut Division,140,141,indicator_35
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,m7ggqyMXhyL,88.4,2,2024,37a,p,Meerut Division,140,141,indicator_37
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,indicator_2a,2086.0,2,2024,2a,p,Meerut Division,140,141,indicator_2
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,GJKYhq2wR9L,5610.0,2,2024,7a,p,Meerut Division,140,141,indicator_7
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,B2A7x36qEry.Ti9FJqkSK6J,7781.0,2,2024,10a,p,Meerut Division,140,141,indicator_10
2023-09-01,Gautam Buddha Nagar,bNmwkrQeP3e,GXgfTS67qxe.Ti9FJqkSK6J,750.0,2,2024,10b,p,Meerut Division,140,141,indicator_10
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,ixBYYYjxXPP,2024.0,2,2024,36a,p,Kanpur Nagar Division,161,164,indicator_36
2023-09-01,Kanpur Nagar,QVMRMhzVrrS,aRueVYr35yM.Ti9FJqkSK6J,5985.0,2,2024,36b,p,Kanpur Nagar Division,161,164,indicator_36
