block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,type,year
Bulandshahar Dibai,YDOGtOLeFg1,p,2021-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,59.44055944055944,ante_natal,2022
Bulandshahar Shikarpur,a3X4KgFjlsz,p,2021-04-01,Bulandshahar,ogBt4gWCiem,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,34.84848484848485,ante_natal,2022
Kohandaur,es3YNWUdqOh,p,2021-04-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Sant Kabir Nagar DHQ,Cv8WrBixKYV,p,2021-04-01,Sant Kabir Nagar,fe1yBApr2sl,Basti Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Hamirpur DHQ,KZozTRTvHgU,p,2021-04-01,Hamirpur,VSI7HobT5qL,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,68.18181818181817,ante_natal,2022
Firozabad Hathwant,ipancoUtUKq,p,2021-04-01,Firozabad,eJTsuE56XDF,Agra Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Etawah Badpura,DQKs9hxWhSr,p,2021-04-01,Etawah,Pm0jLk6EAiE,Kanpur Nagar Division,ante_natal,PW treated with severe anemia,indicator_3,22.22222222222222,ante_natal,2022
Aeliya,DPIQ2VWtvGl,p,2021-04-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Ghazipur Rawatipur,y8eD89Cg95c,p,2021-04-01,Ghazipur,dScWdMRN8PL,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Sahabganj,Aq89pvDpWBA,p,2021-04-01,Chandauli,ClbehnmwSec,Varanasi Division,ante_natal,PW treated with severe anemia,indicator_3,37.83783783783784,ante_natal,2022
Hreaiya,QB1bWVUZvNY,p,2021-04-01,Basti,J1P16zQEOUT,Basti Division,ante_natal,PW treated with severe anemia,indicator_3,72.72727272727273,ante_natal,2022
Nawabganj Bahraich,F2HjseXcv3G,p,2021-04-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Payagpur,m1nYwKqPcyp,p,2021-04-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Partawal,rslNb3Z3IB9,p,2021-04-01,Maharajganj,AcnMkNGgc3S,Gorakhpur Division,ante_natal,PW treated with severe anemia,indicator_3,85.71428571428571,ante_natal,2022
Rudauli,AAOPzLEjW4T,p,2021-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,1.4285714285714286,ante_natal,2022
Ramnagar Chitrakoot,QRMxe3qUWkI,p,2021-04-01,Chitrakoot,i2fSZZ3QAJJ,Chitrakoot Division,ante_natal,PW treated with severe anemia,indicator_3,93.75,ante_natal,2022
Binauli,h3yrIIH1cGT,p,2021-04-01,Bagpat,HJIS3IrQ0Nj,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,21.21212121212121,ante_natal,2022
Meerut Parikshatgarh,oNOcph5dm8a,p,2021-04-01,Meerut,v8YGmR7nOdj,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Barkhani,pkRX2naWpN3,p,2021-04-01,Hardoi,MTIkUw5q5pX,Lucknow Division,ante_natal,PW treated with severe anemia,indicator_3,64.1025641025641,ante_natal,2022
Dhaulana,IywKKXqWKqi,p,2021-04-01,Hapur,CZ8kLjgqvSH,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,98.31460674157303,ante_natal,2022
Akhandnagar,bUb6dbgNp7o,p,2021-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,0.0,ante_natal,2022
Garhmukteshwar,lY8m4U7kmq2,p,2021-04-01,Hapur,CZ8kLjgqvSH,Meerut Division,ante_natal,PW treated with severe anemia,indicator_3,44.44444444444444,ante_natal,2022
Baldirai,VPN370bubCz,p,2021-04-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,16.27906976744186,ante_natal,2022
Ayodhya,Oh9BFAFKGE5,p,2021-04-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Fatehpur  Bahua,gAuwshptXMU,p,2021-04-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,ante_natal,PW treated with severe anemia,indicator_3,47.69230769230769,ante_natal,2022
Azamgarh Koilsa,S32hqFqb1zY,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,36.36363636363637,ante_natal,2022
Azamgarh Maharajganj,Wyo5sWkkK3V,p,2021-04-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,PW treated with severe anemia,indicator_3,36.36363636363637,ante_natal,2022
Wazirganj,xct9yyij86y,p,2021-04-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,PW treated with severe anemia,indicator_3,31.16883116883117,ante_natal,2022
Bijnor  DHQ,pE27TXbzXZ5,p,2021-04-01,Bijnor,uCYjHW7FuGG,Moradabad Division,ante_natal,PW treated with severe anemia,indicator_3,100.0,ante_natal,2022
Fatehpur Bhittora,w25YwsZC9ZT,p,2021-04-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,ante_natal,PW treated with severe anemia,indicator_3,6.875000000000001,ante_natal,2022
