block,block_id,calc_type,date,district,district_id,division,domain,indicator,indicator_id,perc_point,quarter,type,year
Shahbad,Bgu9MPGC8NW,p,2021-08-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,92.26856561546288,2,ante_natal,2022
Kushinagar Motichak,BhMAwU8XZey,p,2021-08-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,88.28828828828829,2,ante_natal,2022
Mainpuri Jagir,BkcbTCyupP9,p,2021-08-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,72.50996015936255,2,ante_natal,2022
Lalaurikhera,BwBmhT0ClWR,p,2021-08-01,Pilibhit,c96jwckSd6j,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,80.55555555555556,2,ante_natal,2022
Dubeypur,C2FFe2TBScZ,p,2021-08-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,79.2910447761194,2,ante_natal,2022
Firozabad Jasrana,C4DRedrM3Pb,p,2021-08-01,Firozabad,eJTsuE56XDF,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,65.88541666666666,2,ante_natal,2022
Fakharpur,C9qOAPWGoUS,p,2021-08-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,83.46153846153847,2,ante_natal,2022
Kushinagar Tamkuhi,CApqqM6FvRV,p,2021-08-01,Kushinagar,xUeHwd9FQkg,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,68.70342771982116,2,ante_natal,2022
Mathura Raya,CGmxoB5JV9G,p,2021-08-01,Mathura,KP2BUB1npih,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,84.16988416988417,2,ante_natal,2022
Manda,CGzm91g5LUD,p,2021-08-01,Prayagraj,tXgaew1Pd2Y,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,66.15853658536585,2,ante_natal,2022
Jalalabad,CJnQGhWTHo0,p,2021-08-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,54.88431876606685,2,ante_natal,2022
Chirgaon,CNdl7yi4n8S,p,2021-08-01,Jhansi,Mq751wBMqGF,Jhansi Division,ante_natal,ANC registered within first trimester,indicator_1,54.04530744336571,2,ante_natal,2022
Agra Shashambad,CSr734nIeVU,p,2021-08-01,Agra,N5WWbRtsjWp,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,85.39741219963031,2,ante_natal,2022
Agra DHQ,CUTzCqh1nRn,p,2021-08-01,Agra,N5WWbRtsjWp,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,12.80972417017298,2,ante_natal,2022
Nawada,CUfl7clOb3K,p,2021-08-01,Kaushambi,PAj0oVY0Dxu,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,34.221038615179765,2,ante_natal,2022
Sohawal,CUsMlPeoyMI,p,2021-08-01,Ayodhya,b4XkXzoGqFY,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,76.5625,2,ante_natal,2022
Unnav DHQ,CYb7f3DOpb0,p,2021-08-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,85.9918200408998,2,ante_natal,2022
Ghorahawal,Cea63kQpiOw,p,2021-08-01,Sonbhadra,NNk3JP90QZ5,Mirzapur Division,ante_natal,ANC registered within first trimester,indicator_1,75.69444444444444,2,ante_natal,2022
Fatehpur Deomai,Cge552Satby,p,2021-08-01,Fatehpur,ibLiLcaKzw2,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,80.33333333333333,2,ante_natal,2022
Huzoorpur,CjshmDK5t8E,p,2021-08-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,89.38992042440319,2,ante_natal,2022
Unnav Asoha,CpShKssApxk,p,2021-08-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,77.6978417266187,2,ante_natal,2022
Azamgarh Lalganj,CqNwKYL7iqH,p,2021-08-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,61.52416356877324,2,ante_natal,2022
Barsathi,CqlV6Koe6vJ,p,2021-08-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,79.46096654275094,2,ante_natal,2022
Varanasi Pindara,Cr1PwYBuSs1,p,2021-08-01,Varanasi,LeuBT7KfuuA,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,50.955414012738856,2,ante_natal,2022
Sant Kabir Nagar DHQ,Cv8WrBixKYV,p,2021-08-01,Sant Kabir Nagar,fe1yBApr2sl,Basti Division,ante_natal,ANC registered within first trimester,indicator_1,54.66666666666666,2,ante_natal,2022
Dadroul,CzrcP2SLElb,p,2021-08-01,Shahjahanpur,GaiLSoQq1ue,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,66.31892697466468,2,ante_natal,2022
Sidhpura,DCamfBCJMSi,p,2021-08-01,Kasganj,hITp09XOBLZ,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,76.6949152542373,2,ante_natal,2022
Bilaspur,DNtrijn28qb,p,2021-08-01,Rampur,IU006h5U7jj,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,93.73776908023486,2,ante_natal,2022
Aeliya,DPIQ2VWtvGl,p,2021-08-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,77.57475083056478,2,ante_natal,2022
Etawah Badpura,DQKs9hxWhSr,p,2021-08-01,Etawah,Pm0jLk6EAiE,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,21.804511278195488,2,ante_natal,2022
Lalitpur Madawara,DQg8KWOYf9m,p,2021-08-01,Lalitpur,fagfcadhxej,Jhansi Division,ante_natal,ANC registered within first trimester,indicator_1,71.65354330708661,2,ante_natal,2022
Tandiyanwa,DSmdrNpxWTp,p,2021-08-01,Hardoi,MTIkUw5q5pX,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,42.64150943396226,2,ante_natal,2022
Azamgarh Rani Ki Sarai,DYvPZYv80ET,p,2021-08-01,Azamgarh,NjckKfm3g0k,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,51.24378109452736,2,ante_natal,2022
Dhnipur,DeIlv8osqJa,p,2021-08-01,Aligarh,frD2HOp3wAs,Alligarh Division,ante_natal,ANC registered within first trimester,indicator_1,92.37588652482269,2,ante_natal,2022
Jamalpur,Dga9ieikVr5,p,2021-08-01,Mirzapur,UAicdMLyuk4,Mirzapur Division,ante_natal,ANC registered within first trimester,indicator_1,84.26698450536351,2,ante_natal,2022
Maunathbhanjan Badraon,DlJoJFtt9AE,p,2021-08-01,Maunathbhanjan,CBSB9v92AwT,Azamgarh Division,ante_natal,ANC registered within first trimester,indicator_1,39.34010152284264,2,ante_natal,2022
Mainpuri Bewar,Dn4n2S6qEWw,p,2021-08-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,23.41356673960612,2,ante_natal,2022
Kanpur Dehat Derapur,Dt0dgcTvEpm,p,2021-08-01,Kanpur Dehat,k3D0AumUCiC,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,78.97196261682244,2,ante_natal,2022
Sambhal DHQ,E3NqDNq6JJg,p,2021-08-01,Sambhal,YzHpzrN0eLv,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,25.400457665903893,2,ante_natal,2022
Deoria Barhaz,E5A2kSTc3PM,p,2021-08-01,Deoria,Tf9b9qcbghH,Gorakhpur Division,ante_natal,ANC registered within first trimester,indicator_1,57.450628366247756,2,ante_natal,2022
Rae Bareli Setawan,E6hdzl0I5tt,p,2021-08-01,Rae Bareli,lLvTDpBDY8u,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,25.75757575757576,2,ante_natal,2022
Kasmanda,E8Ds6nIiHXM,p,2021-08-01,Sitapur,XxaOowFtkiJ,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,76.68810289389067,2,ante_natal,2022
Siddharth Nagar DHQ,EE0yO6YSNwL,p,2021-08-01,Siddharth Nagar,cP0p8qfm3il,Basti Division,ante_natal,ANC registered within first trimester,indicator_1,15.245478036175713,2,ante_natal,2022
Badoukher Khurd,EFUeXhmIy8J,p,2021-08-01,Banda,DggJGxqbWHn,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,50.171821305841924,2,ante_natal,2022
Sultanpur,ES7nfQzse06,p,2021-08-01,Sultanpur,o4ZQTVcMI7U,Ayodhya Division,ante_natal,ANC registered within first trimester,indicator_1,34.5679012345679,2,ante_natal,2022
Panwari,ESC202G5t07,p,2021-08-01,Mahoba,sUQMxIc3yXj,Chitrakoot Division,ante_natal,ANC registered within first trimester,indicator_1,59.45121951219512,2,ante_natal,2022
Tajpur,ETOgxiqqzTT,p,2021-08-01,Moradabad,YQNQoPjAIpV,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,52.01793721973094,2,ante_natal,2022
Unnav Bichhiya,EVsunDfk1Xx,p,2021-08-01,Unnav,aT03mfdlNiF,Lucknow Division,ante_natal,ANC registered within first trimester,indicator_1,65.57377049180327,2,ante_natal,2022
Mathura Mant,EWInJymroFJ,p,2021-08-01,Mathura,KP2BUB1npih,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,69.0,2,ante_natal,2022
Sarswan,EXoRpuAixOF,p,2021-08-01,Kaushambi,PAj0oVY0Dxu,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,61.86186186186187,2,ante_natal,2022
Chobeypur,EbQXwXsACBg,p,2021-08-01,Kanpur Nagar,QVMRMhzVrrS,Kanpur Nagar Division,ante_natal,ANC registered within first trimester,indicator_1,28.956228956228962,2,ante_natal,2022
Sondhi,EcaeGqA47MY,p,2021-08-01,Jaunpur,gmw76vAUMqz,Varanasi Division,ante_natal,ANC registered within first trimester,indicator_1,78.58719646799119,2,ante_natal,2022
Bijnor Jalilpur,EdO6OYkMy4n,p,2021-08-01,Bijnor,uCYjHW7FuGG,Moradabad Division,ante_natal,ANC registered within first trimester,indicator_1,86.01516427969672,2,ante_natal,2022
Mahsi,EdjW9d0OX1h,p,2021-08-01,Bahraich,iE0E3nLioFr,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,75.7725587144623,2,ante_natal,2022
Mainpuri Barnahal,EeFlmvJs36p,p,2021-08-01,Mainpuri,XBLhrSWGytu,Agra Division,ante_natal,ANC registered within first trimester,indicator_1,71.3157894736842,2,ante_natal,2022
Sangipur,EgafD8LSM5T,p,2021-08-01,Pratapgarh,fz7bJo3egPX,Prayagraj Division,ante_natal,ANC registered within first trimester,indicator_1,81.08695652173913,2,ante_natal,2022
Ujhani,EjPcZNiYzP2,p,2021-08-01,Budaun,eA37kyBRRuZ,Bareilly Division,ante_natal,ANC registered within first trimester,indicator_1,31.735159817351605,2,ante_natal,2022
Bankuti,Ek8aj4Sjo0n,p,2021-08-01,Basti,J1P16zQEOUT,Basti Division,ante_natal,ANC registered within first trimester,indicator_1,51.60642570281125,2,ante_natal,2022
