block_id,perc_point,indicator_id,district_id,district,block,division,type,domain,indicator,calc_type,year,quarter,date
uEEKeL3UnB2,,indicator_5,ibLiLcaKzw2,Fatehpur,Fatehpur Khaga,Prayagraj Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
O5BIieG3GQR,,indicator_5,frD2HOp3wAs,Aligarh,Atrauli,Alligarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
q6Maei9E55U,,indicator_5,uS0pNSxN3sS,Balrampur,Tulsipur,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
lcnwkO2gp49,,indicator_5,NjckKfm3g0k,Azamgarh,Azamgarh Pawai,Azamgarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
uhbQ7To0pN9,,indicator_5,aT03mfdlNiF,Unnav,Unnav Fatehpur -84,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
jo7VYHdzhDi,,indicator_5,iE0E3nLioFr,Bahraich,Mihipurwa,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
LNiRZH5vfaY,,indicator_5,o4ZQTVcMI7U,Sultanpur,Dhanpatganj,Ayodhya Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
ewq9OZKKqta,,indicator_5,vR85cHdsw1w,Gorakhpur,Jungle Kauriya,Gorakhpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
QglkJx8TDdn,,indicator_5,ClbehnmwSec,Chandauli,Chandauli,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
covI1BtEX12,,indicator_5,XBLhrSWGytu,Mainpuri,Mainpuri Mainpuri,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
WvXTe5mm0Jg,,indicator_5,cP0p8qfm3il,Siddharth Nagar,Uska Bazar,Basti Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
gucZ0cBoa0r,,indicator_5,KP2BUB1npih,Mathura,Mathura Mathura,Agra Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
F6ojCWU9pCH,,indicator_5,oNDvGBE5fLq,Ballia,Ballia Pandah,Azamgarh Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
XyOAuYi23Qw,,indicator_5,J1P16zQEOUT,Basti,Kaptanganj Basti,Basti Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
FyHWyWYiq51,,indicator_5,ClbehnmwSec,Chandauli,Niyamtabad,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
tvZfs4DYlev,,indicator_5,XxaOowFtkiJ,Sitapur,Rampur Mathura,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
wPymOYKUUFI,,indicator_5,MTIkUw5q5pX,Hardoi,Bharawan,Lucknow Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
miFaxMESSJ2,,indicator_5,oyTwneTbWDx,Shrawasti,Hariharpur Rani,Gonda Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
FX5OPO64IaR,,indicator_5,v8YGmR7nOdj,Meerut,Meerut MEERUT,Meerut Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
HonPmXiTJw7,,indicator_5,LeuBT7KfuuA,Varanasi,Varanasi Cholapur,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
NJxCMa3k532,,indicator_5,LeuBT7KfuuA,Varanasi,Varanasi Sewapuri,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Ygt5E2MGGWd,,indicator_5,hgquAmZaNBu,Amroha,Amroha DHQ,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
L75X9VvSfGc,,indicator_5,NL5xiiHZQSC,Jalaun,Jalaun  DHQ,Jhansi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
YRYbXgGEgwG,,indicator_5,Tf9b9qcbghH,Deoria,Deoria Selampur,Gorakhpur Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
HuW3JM0nGTz,,indicator_5,sUQMxIc3yXj,Mahoba,Jaitpur,Chitrakoot Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
Xkw9hBGJS6I,,indicator_5,YzHpzrN0eLv,Sambhal,Asmoli,Moradabad Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
ROeKhlePe7w,,indicator_5,GaiLSoQq1ue,Shahjahanpur,Khutar,Bareilly Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
ZawkcSeJU8n,,indicator_5,IhQbDYRiF8w,Kannauj,Gugrapur,Kanpur Nagar Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
NbXqavwiDug,,indicator_5,dScWdMRN8PL,Ghazipur,Ghazipur Jakahania,Varanasi Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
istRPh0AKbM,,indicator_5,uEEwlAGZXWW,Farrukhabad,Samsabad,Kanpur Nagar Division,new_born_care,new_born_care,HBNC visits,p,2022,2,2021-07-01
