calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,type,weight,year
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,MDR ,Maternal Death audited ,indicator_18,191,2.4509803921568643,MDR ,3.0,2020
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,IDSP ,RU Reporting ,indicator_20,191,100.0,IDSP ,3.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Ayushman Bharat ,Golden Card percentile ,indicator_23,191,0.0,Ayushman Bharat ,5.0,2020
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,BMW Management ,CHC with BMW management ,indicator_26,191,0.0,BMW Management ,1.5,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,HWC ,Activated HWC ,indicator_15,191,74.50980392156862,HWC ,5.0,2020
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,LaQshya ,LaQshya certified CHC's ,indicator_21,191,0.0,LaQshya ,5.0,2020
p,Process Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,27.98656068179956,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,48.359071854887716,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,ANC registered within first trimester,indicator_1,180,68.12632144175589,ante_natal,3.0,2020
p,Outcome Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,PW received 4 or more ANC,indicator_2,180,32.231179710810196,ante_natal,4.0,2018
p,Outcome Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,PW received 4 or more ANC,indicator_2,180,55.00213140086322,ante_natal,4.0,2019
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,PW received 4 or more ANC,indicator_2,180,80.84020995193629,ante_natal,4.0,2020
p,Process Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,180,7.035175879396986,ante_natal,3.0,2018
p,Process Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,180,42.903805324187495,ante_natal,3.0,2019
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,ante_natal,PW treated with severe anemia,indicator_3,180,87.2899847261619,ante_natal,3.0,2020
p,Process Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,new_born_care,HBNC visits,indicator_5,180,29.30960318313797,new_born_care,3.0,2018
p,Process Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,new_born_care,HBNC visits,indicator_5,180,48.62658735383179,new_born_care,3.0,2019
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,new_born_care,HBNC visits,indicator_5,180,61.71943254149853,new_born_care,3.0,2020
p,Outcome Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Immunization,Full immunization,indicator_6,180,39.61849394485957,Immunization,5.0,2018
p,Outcome Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Immunization,Full immunization,indicator_6,180,49.628544215693466,Immunization,5.0,2019
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Immunization,Full immunization,indicator_6,180,78.30472482746417,Immunization,5.0,2020
p,Outcome Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,communicable_diseases,Communicable disease,indicator_7,180,100.0,communicable_diseases,5.0,2018
p,Outcome Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,communicable_diseases,Communicable disease,indicator_7,180,18.18974615487355,communicable_diseases,5.0,2019
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,communicable_diseases,Communicable disease,indicator_7,180,89.59598853868195,communicable_diseases,5.0,2020
p,Process Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,CDR,Child Death Reported (U5) ,indicator_10,180,0.0,CDR,3.0,2018
p,Process Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,CDR,Child Death Reported (U5) ,indicator_10,180,0.0,CDR,3.0,2019
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,CDR,Child Death Reported (U5) ,indicator_10,180,0.08774258243378752,CDR,3.0,2020
p,Process Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,RCH Portal ,Mother Registeration RCH ,indicator_17,180,0.0,RCH Portal ,3.0,2018
p,Process Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,RCH Portal ,Mother Registeration RCH ,indicator_17,180,0.0,RCH Portal ,3.0,2019
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,RCH Portal ,Mother Registeration RCH ,indicator_17,180,25.46907365076385,RCH Portal ,3.0,2020
p,Outcome Indicator ,2017-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Birth Registration ,Birth registeration CRS ,indicator_19,180,0.0,Birth Registration ,5.0,2018
p,Outcome Indicator ,2018-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Birth Registration ,Birth registeration CRS ,indicator_19,180,0.0,Birth Registration ,5.0,2019
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Birth Registration ,Birth registeration CRS ,indicator_19,180,0.0,Birth Registration ,5.0,2020
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Institutional delivery ,Institutional delivery (private) ,indicator_4,180,100.0,Institutional delivery ,2.0,2020
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,communicable_diseases,Success rate of positive tuberculosis cases,indicator_8,180,100.0,communicable_diseases,5.0,2020
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,communicable_diseases,% of positive malaria cases identified against total tested in the district up to the month,indicator_9,180,0.25854639471416263,communicable_diseases,3.0,2020
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Institutional delivery ,Institutional delivery (public + private) ,indicator_11,180,30.571761009298683,Institutional delivery ,5.0,2020
p,Outcome Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Family Planning,Couple Accepted Modern FP ,indicator_13,180,59.639285507832824,Family Planning,5.0,2020
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,Asha Incentive,Asha Incentive percentile ,indicator_14,180,87.9553790085932,Asha Incentive,4.0,2020
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,MDR ,Maternal Death audited ,indicator_18,180,4.383561643835616,MDR ,3.0,2020
p,Process Indicator ,2019-04-01,Bahraich,iE0E3nLioFr,182,Gonda Division,IDSP ,RU Reporting ,indicator_20,180,57.74647887323944,IDSP ,3.0,2020
