calc_type,category,date,district,district_id,div_map_id,division,domain,indicator,indicator_id,map_id,perc_point,quarter,type,weight,year
p,Process Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,55.93118019921521,2,new_born_care,3.0,2019
p,Process Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,53.02527973477,3,new_born_care,3.0,2019
p,Process Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,52.57166511435371,4,new_born_care,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,50.23396990008853,1,new_born_care,3.0,2020
p,Process Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,55.50823395797842,2,new_born_care,3.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,61.942743198974505,3,new_born_care,3.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,new_born_care,HBNC visits,indicator_5,191,63.82945856182901,4,new_born_care,3.0,2020
p,Outcome Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,29.341625165373173,3,Immunization,5.0,2018
p,Outcome Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,29.919693943760482,4,Immunization,5.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,65.01117099225638,1,Immunization,5.0,2019
p,Outcome Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,71.8915412766162,2,Immunization,5.0,2019
p,Outcome Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,87.58378244192284,3,Immunization,5.0,2019
p,Outcome Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,75.06906796287547,4,Immunization,5.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,100.0,1,Immunization,5.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,100.0,2,Immunization,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,100.0,3,Immunization,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,Immunization,Full immunization,indicator_6,191,100.0,4,Immunization,5.0,2020
p,Outcome Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,77.70039130755791,3,communicable_diseases,5.0,2018
p,Outcome Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,77.70039130755791,4,communicable_diseases,5.0,2018
p,Outcome Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,16.539460695771023,1,communicable_diseases,5.0,2019
p,Outcome Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,16.047970878768147,2,communicable_diseases,5.0,2019
p,Outcome Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,12.990425612694066,3,communicable_diseases,5.0,2019
p,Outcome Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,4.003709183450416,4,communicable_diseases,5.0,2019
p,Outcome Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,25.93084370677732,1,communicable_diseases,5.0,2020
p,Outcome Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,76.19363762102351,2,communicable_diseases,5.0,2020
p,Outcome Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,74.19087136929461,3,communicable_diseases,5.0,2020
p,Outcome Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,communicable_diseases,Communicable disease,indicator_7,191,100.0,4,communicable_diseases,5.0,2020
p,Process Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,3,CDR,3.0,2018
p,Process Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,4,CDR,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,1,CDR,3.0,2019
p,Process Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,2,CDR,3.0,2019
p,Process Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,3,CDR,3.0,2019
p,Process Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,4,CDR,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,1,CDR,3.0,2020
p,Process Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0,2,CDR,3.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.0295977176871028,3,CDR,3.0,2020
p,Process Indicator ,2020-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,CDR,Child Death Reported (U5) ,indicator_10,191,0.05261816477707163,4,CDR,3.0,2020
p,Process Indicator ,2017-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,3,RCH Portal ,3.0,2018
p,Process Indicator ,2018-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,4,RCH Portal ,3.0,2018
p,Process Indicator ,2018-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,1,RCH Portal ,3.0,2019
p,Process Indicator ,2018-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,2,RCH Portal ,3.0,2019
p,Process Indicator ,2018-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,3,RCH Portal ,3.0,2019
p,Process Indicator ,2019-01-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,4,RCH Portal ,3.0,2019
p,Process Indicator ,2019-04-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,1,RCH Portal ,3.0,2020
p,Process Indicator ,2019-07-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,2,RCH Portal ,3.0,2020
p,Process Indicator ,2019-10-01,Azamgarh,NjckKfm3g0k,193,Azamgarh Division,RCH Portal ,Mother Registeration RCH ,indicator_17,191,0.0,3,RCH Portal ,3.0,2020
