Unnamed: 5,calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,value,year,district_id_num
,p,0.5544879830654891,70.0,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,immunization,0.3123385195691881,74.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.3346828834696191,44.0,203,1.0448213204118717,4,quality,2.5645524820645185,32.0,1.0448213204118717,2025,32
,p,0.5544879830654891,70.0,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,203,100.0,4,coverage,4.636404888600398,63.0,100.0,2025,32
,p,0.5544879830654891,70.0,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,communicable_diseases,1.0,1.0,Total case notification rate of TB against expected TB cases,10,indicator_10,1.0,1.0,203,100.0,4,quality,2.5645524820645185,32.0,100.0,2025,32
,p,0.5544879830654891,70.0,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,family_planning,0.12196235132882485,64.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.0,75.0,203,0.076548411031477,4,coverage,4.636404888600398,63.0,0.076548411031477,2025,32
,p,0.5544879830654891,70.0,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,family_planning,0.12196235132882485,64.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.2439247026576497,18.0,203,10.061863361137476,4,coverage,4.636404888600398,63.0,10.061863361137476,2025,32
,p,0.5544879830654891,70.0,2025-03-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,finance,0.6199110758570607,34.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.6199110758570607,34.0,203,6582.278481012656,4,coverage,4.636404888600398,63.0,6582.278481012656,2025,32
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,162,100.0,4,coverage,5.6067873514528745,16.0,100.0,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,delivery_care,0.463434557105802,64.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.4112696354666297,37.0,162,67.380288857625,4,coverage,5.6067873514528745,16.0,67.380288857625,2025,37
,n,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,delivery_care,0.463434557105802,64.0,Still birth ratio,4,indicator_4,0.955950086739074,18.0,162,1.784651992861392,4,quality,2.465780735337253,47.0,1.784651992861392,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,delivery_care,0.463434557105802,64.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.011541974555851065,74.0,162,0.20366598778004072,4,quality,2.465780735337253,47.0,1.9758995247793616,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,delivery_care,0.463434557105802,64.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.011541974555851065,74.0,162,6.111111111111112,4,quality,2.465780735337253,47.0,1.9758995247793616,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,162,100.0,4,coverage,5.6067873514528745,16.0,100.0,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,immunization,0.4899531907150685,67.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.481617707387809,18.0,162,91.46011611468849,4,coverage,5.6067873514528745,16.0,91.46011611468849,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,immunization,0.4899531907150685,67.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.4982886740423281,21.0,162,1.191906005221932,4,quality,2.465780735337253,47.0,1.191906005221932,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,162,100.0,4,coverage,5.6067873514528745,16.0,100.0,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,communicable_diseases,1.0,1.0,Total case notification rate of TB against expected TB cases,10,indicator_10,1.0,1.0,162,100.0,4,quality,2.465780735337253,47.0,100.0,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,family_planning,0.6091362527958815,2.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.5222045696741718,9.0,162,1.8767227620524265,4,coverage,5.6067873514528745,16.0,1.8767227620524265,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,family_planning,0.6091362527958815,2.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.696067935917591,2.0,162,22.784381261076764,4,coverage,5.6067873514528745,16.0,22.784381261076764,2025,37
,p,0.5989074449681955,66.0,2025-03-01,Auraiya,Bd6E8zkVvVt,161,Kanpur Nagar Division,finance,0.4956275030066736,61.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.4956275030066736,61.0,162,5557.28760717069,4,coverage,5.6067873514528745,16.0,5557.28760717069,2025,37
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,192,100.0,4,coverage,5.55085380698283,21.0,100.0,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,0.7228947510279453,19.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.6348201904257627,14.0,192,78.16477297907244,4,coverage,5.55085380698283,21.0,78.16477297907244,2025,6
,n,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,0.7228947510279453,19.0,Still birth ratio,4,indicator_4,0.9912348598258032,4.0,192,0.35511363636363635,4,quality,2.5585208983244074,34.0,0.35511363636363635,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,0.7228947510279453,19.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.2713146014161352,37.0,192,4.1469194312796205,4,quality,2.5585208983244074,34.0,11.7384600402519,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,delivery_care,0.7228947510279453,19.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.2713146014161352,37.0,192,29.45205479452055,4,quality,2.5585208983244074,34.0,11.7384600402519,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,192,100.0,4,coverage,5.55085380698283,21.0,100.0,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,immunization,0.6479857185412344,42.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,192,100.0,4,coverage,5.55085380698283,21.0,100.0,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,immunization,0.6479857185412344,42.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.2959714370824688,54.0,192,1.0100190015546726,4,quality,2.5585208983244074,34.0,1.0100190015546726,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,192,100.0,4,coverage,5.55085380698283,21.0,100.0,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,communicable_diseases,1.0,1.0,Total case notification rate of TB against expected TB cases,10,indicator_10,1.0,1.0,192,100.0,4,quality,2.5585208983244074,34.0,100.0,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,family_planning,0.20459760034257424,32.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.2890958789794887,22.0,192,1.0731367531240183,4,coverage,5.55085380698283,21.0,1.0731367531240183,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,family_planning,0.20459760034257424,32.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.12009932170565978,54.0,192,6.577634228103436,4,coverage,5.55085380698283,21.0,6.577634228103436,2025,6
,p,0.6540451560338858,33.0,2025-03-01,Maunathbhanjan,CBSB9v92AwT,193,Azamgarh Division,finance,0.5068384158719171,59.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5068384158719171,59.0,192,5649.746192893398,4,coverage,5.55085380698283,21.0,5649.746192893398,2025,6
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,204,100.0,4,coverage,5.4664756973474855,25.0,100.0,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,delivery_care,0.5318121956390186,54.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.6207928865757902,16.0,204,77.48807040651832,4,coverage,5.4664756973474855,25.0,77.48807040651832,2025,46
,n,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,delivery_care,0.5318121956390186,54.0,Still birth ratio,4,indicator_4,0.9326399831915118,30.0,204,2.7290448343079925,4,quality,2.057229506186397,69.0,2.7290448343079925,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,delivery_care,0.5318121956390186,54.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.021001858574876804,72.0,204,2.1978021978021984,4,quality,2.057229506186397,69.0,2.3314130803117594,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,delivery_care,0.5318121956390186,54.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.021001858574876804,72.0,204,2.643171806167401,4,quality,2.057229506186397,69.0,2.3314130803117594,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,204,100.0,4,coverage,5.4664756973474855,25.0,100.0,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,immunization,0.5916195563140786,60.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,204,100.0,4,coverage,5.4664756973474855,25.0,100.0,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,immunization,0.5916195563140786,60.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.1832391126281571,73.0,204,0.908670520231214,4,quality,2.057229506186397,69.0,0.908670520231214,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,communicable_diseases,0.9601742758959256,3.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,204,100.0,4,coverage,5.4664756973474855,25.0,100.0,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,communicable_diseases,0.9601742758959256,3.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.9203485517918509,3.0,204,98.96907216494844,4,quality,2.057229506186397,69.0,98.96907216494844,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,family_planning,0.14466863491838566,50.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.16814455682086654,47.0,204,0.6561862312090578,4,coverage,5.4664756973474855,25.0,0.6561862312090578,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,family_planning,0.14466863491838566,50.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.12119271301590477,51.0,204,6.608400342672782,4,coverage,5.4664756973474855,25.0,6.608400342672782,2025,46
,p,0.6300170506228499,51.0,2025-03-01,Hapur,CZ8kLjgqvSH,140,Meerut Division,finance,0.5563455409349237,48.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.5563455409349237,48.0,204,6058.041112454657,4,coverage,5.4664756973474855,25.0,6058.041112454657,2025,46
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,196,100.0,4,coverage,5.592298434055903,20.0,100.0,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.819654117462191,6.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.581571916187068,22.0,196,75.59597967803742,4,coverage,5.592298434055903,20.0,75.59597967803742,2025,61
,n,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.819654117462191,6.0,Still birth ratio,4,indicator_4,0.8979001665748132,41.0,196,4.136504653567736,4,quality,2.102226465803019,68.0,4.136504653567736,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.819654117462191,6.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.4897451348123457,6.0,196,2.9239766081871337,4,quality,2.102226465803019,68.0,19.94733611191884,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.819654117462191,6.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.4897451348123457,6.0,196,59.66850828729282,4,quality,2.102226465803019,68.0,19.94733611191884,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,196,100.0,4,coverage,5.592298434055903,20.0,100.0,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.3695899923849783,73.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.4285784121908304,20.0,196,90.58634124082371,4,coverage,5.592298434055903,20.0,90.58634124082371,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.3695899923849783,73.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.3106015725791261,48.0,196,1.023171768707483,4,quality,2.102226465803019,68.0,1.023171768707483,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.7019897959183671,14.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,196,100.0,4,coverage,5.592298434055903,20.0,100.0,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.7019897959183671,14.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.4039795918367341,12.0,196,92.28571428571428,4,quality,2.102226465803019,68.0,92.28571428571428,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.527214384806618,5.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.8601638304853341,2.0,196,3.0417558321036027,4,coverage,5.592298434055903,20.0,3.0417558321036027,2025,61
,p,0.6420852572319772,45.0,2025-03-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.527214384806618,5.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.19426493912790185,30.0,196,8.664524677422744,4,coverage,5.592298434055903,20.0,8.664524677422744,2025,61
