block_name,block_id,calc_type,composite_index,composite_rank,count,date,district,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,year,block_id_num
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,post_natal_care,0.8890982503364736,88.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.8890982503364736,88.0,768.0,88.90982503364737,coverage,0.5033436492266032,869.0,2025,211
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.42090525487661296,873.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.6393371169819557,639.0,768.0,65.04405913693215,coverage,0.5033436492266032,869.0,2025,211
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,immunization,0.42090525487661296,873.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.2024733927712702,428.0,768.0,1.0195670274771025,quality,0.5364774402274294,873.0,2025,211
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,communicable_diseases,0.7023026692561415,282.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,0.7023026692561415,282.0,768.0,74.74543368337223,coverage,0.5033436492266032,869.0,2025,211
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.1507006070654745,168.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.14446774385531094,57.0,768.0,26.691778557561022,coverage,0.5033436492266032,869.0,2025,211
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,family_planning,0.1507006070654745,168.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.1569334702756381,390.0,768.0,80.10977667727346,coverage,0.5033436492266032,869.0,2025,211
Chandauli,QglkJx8TDdn,p,0.6803560346278428,819.0,47,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,finance,0.3804056289341828,58.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.3804056289341828,58.0,768.0,4802.931003094847,coverage,0.5033436492266032,869.0,2025,211
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,1.0,1.0,765.0,100.0,coverage,0.6462442305317191,382.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,1.0,1.0,765.0,100.0,quality,0.7195152482714371,310.0,2025,203
Dhanapur,F1Ddi7jawvX,p,0.7506046148056111,529.0,45,2024-04-01,Chandauli,ClbehnmwSec,195,Varanasi Division,delivery_care,0.9131078909002948,165.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.7408508589891539,149.0,765.0,76.45176239079831,coverage,0.6462442305317191,382.0,2025,203
