block_name,block_id,calc_type,composite_index,composite_rank,count,date,district,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,year,block_id_num
Islamnagar,BU3H8j3vtpl,p,0.7671135981498938,558.0,27,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,immunization,0.5460056298810317,470.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.9912968307651958,26.0,174.0,99.17660103598816,4,coverage,0.6558918502992407,476.0,2025,157
Islamnagar,BU3H8j3vtpl,p,0.7671135981498938,558.0,27,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,immunization,0.5460056298810317,470.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.1007144289968676,583.0,174.0,1.0,4,quality,0.6894793927053219,607.0,2025,157
Islamnagar,BU3H8j3vtpl,p,0.7671135981498938,558.0,27,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,communicable_diseases,1.0,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_10,1.0,1.0,174.0,100.0,4,coverage,0.6558918502992407,476.0,2025,157
Islamnagar,BU3H8j3vtpl,p,0.7671135981498938,558.0,27,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,family_planning,0.09197777872998318,548.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.03360055115825625,638.0,174.0,0.32065418609055696,4,coverage,0.6558918502992407,476.0,2025,157
Islamnagar,BU3H8j3vtpl,p,0.7671135981498938,558.0,27,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,family_planning,0.09197777872998318,548.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.15035500630171011,370.0,174.0,7.791896722000533,4,coverage,0.6558918502992407,476.0,2025,157
Islamnagar,BU3H8j3vtpl,p,0.7671135981498938,558.0,27,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,finance,0.4930035833372087,62.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_11,0.4930035833372087,62.0,174.0,5535.647629712578,4,coverage,0.6558918502992407,476.0,2025,157
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC against estimated PW,1,indicator_1,1.0,1.0,182.0,100.0,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,ante_natal,1.0,1.0,% of pregnant women tested for Hb for 4 or more times against estimated PW,22,indicator_2,1.0,1.0,182.0,100.0,4,quality,0.6940067602309475,558.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8753614039652227,498.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_3,0.5561170734675498,475.0,182.0,59.65104197820028,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,n,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8753614039652227,498.0,Still birth ratio,4,indicator_4,0.9854418308963764,80.0,182.0,3.4965034965034967,4,quality,0.6940067602309475,558.0,2025,719
Ujhani,EjPcZNiYzP2,n,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8753614039652227,498.0,Est Delivery load as per available Delivery Point,131,indicator_13,0.968404528769504,322.0,182.0,208.56125177777776,4,availability,0.84699206979615,344.0,2025,719
Ujhani,EjPcZNiYzP2,n,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,delivery_care,0.8753614039652227,498.0,Est Delivery load as per available SBA trained staff Nurse / ANM,141,indicator_14,0.9914821827274608,277.0,182.0,52.14031294444445,4,availability,0.84699206979615,344.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,post_natal_care,0.6993006993006994,129.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.6993006993006994,129.0,182.0,69.93006993006993,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,immunization,0.4523241620268305,780.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.8080698742571947,329.0,182.0,81.84166452063222,4,coverage,0.6012078140395614,755.0,2025,719
Ujhani,EjPcZNiYzP2,p,0.7604177555880902,638.0,40,2025-03-01,Budaun,eA37kyBRRuZ,150,Bareilly Division,immunization,0.4523241620268305,780.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.09657844979646636,669.0,182.0,0.9595959595959596,4,quality,0.6940067602309475,558.0,2025,719
