calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,type_name,type_index,type_rank,value,year,district_id_num
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,communicable_diseases,0.5547261380732156,40.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,195,100.0,coverage,5.114411128913319,26.0,100.0,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,communicable_diseases,0.5547261380732156,40.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.10945227614643116,43.0,195,18.06615776081425,quality,1.4381918769225952,33.0,18.06615776081425,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,family_planning,0.17574790606562513,33.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.15716945555366346,20.0,195,13.09243758694734,coverage,5.114411128913319,26.0,13.09243758694734,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,family_planning,0.17574790606562513,33.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.1943263565775868,49.0,195,75.59152009453936,coverage,5.114411128913319,26.0,75.59152009453936,2025,67
p,0.5592677343098368,35.0,2024-04-01,Ghazipur,dScWdMRN8PL,195,Varanasi Division,finance,0.4763399743514897,44.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.4763399743514897,44.0,195,5018.079259473531,coverage,5.114411128913319,26.0,5018.079259473531,2025,67
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,194,100.0,coverage,4.8404168002791375,40.0,100.0,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,delivery_care,0.6193732229280827,26.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.2315908013386777,72.0,194,52.671707941025375,coverage,4.8404168002791375,40.0,52.671707941025375,2025,54
n,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,delivery_care,0.6193732229280827,26.0,Still birth ratio,4,indicator_4,0.8200214434625228,22.0,194,3.4335182985370936,quality,1.6549549329070996,16.0,3.4335182985370936,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,delivery_care,0.6193732229280827,26.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.4032537119915237,17.0,194,3.332710978342046,quality,1.6549549329070996,16.0,15.097038559972837,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,delivery_care,0.6193732229280827,26.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.4032537119915237,17.0,194,42.54713625044468,quality,1.6549549329070996,16.0,15.097038559972837,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,194,100.0,coverage,4.8404168002791375,40.0,100.0,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,immunization,0.5182505417048855,47.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.8446556000334224,14.0,194,95.9844877158583,coverage,4.8404168002791375,40.0,95.9844877158583,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,immunization,0.5182505417048855,47.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.19184548337634846,49.0,194,0.9424248755179496,quality,1.6549549329070996,16.0,0.9424248755179496,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,communicable_diseases,0.6199171470383523,15.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,194,100.0,coverage,4.8404168002791375,40.0,100.0,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,communicable_diseases,0.6199171470383523,15.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.2398342940767047,17.0,194,20.649959250203747,quality,1.6549549329070996,16.0,20.649959250203747,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,family_planning,0.17444771407395185,34.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.122825541406773,25.0,194,10.655291478132586,coverage,4.8404168002791375,40.0,10.655291478132586,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,family_planning,0.17444771407395185,34.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.2260698867411307,41.0,194,81.40455952050289,coverage,4.8404168002791375,40.0,81.40455952050289,2025,54
p,0.5951100997075206,14.0,2024-04-01,Jaunpur,gmw76vAUMqz,195,Varanasi Division,finance,0.4152749707591336,52.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.4152749707591336,52.0,194,4881.131131131131,coverage,4.8404168002791375,40.0,4881.131131131131,2025,54
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,133,100.0,coverage,5.879978284310867,4.0,100.0,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,delivery_care,0.7590701756032384,9.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.6565261087894011,13.0,133,75.93582574670212,coverage,5.879978284310867,4.0,75.93582574670212,2025,17
n,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,delivery_care,0.7590701756032384,9.0,Still birth ratio,4,indicator_4,0.9582764843483592,5.0,133,1.1519006360494817,quality,1.6165949973244955,22.0,1.1519006360494817,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,delivery_care,0.7590701756032384,9.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.3312039668359775,26.0,133,2.394879911912463,quality,1.6165949973244955,22.0,12.727632901157895,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,delivery_care,0.7590701756032384,9.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.3312039668359775,26.0,133,36.8373898760639,quality,1.6165949973244955,22.0,12.727632901157895,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,133,100.0,coverage,5.879978284310867,4.0,100.0,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,immunization,0.6635572730700794,15.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,133,100.0,coverage,5.879978284310867,4.0,100.0,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,immunization,0.6635572730700794,15.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.3271145461401587,29.0,133,1.0251410775127767,quality,1.6165949973244955,22.0,1.0251410775127767,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,communicable_diseases,0.5,68.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,133,100.0,coverage,5.879978284310867,4.0,100.0,2025,17
p,0.6679052793891329,4.0,2024-04-01,Muzaffarnagar,MVQs2RrS1Nw,132,Saharanpur Division,communicable_diseases,0.5,68.0,Total case notification rate of TB against expected TB cases,10,indicator_10,0.0,75.0,133,15.8971243418388,quality,1.6165949973244955,22.0,15.8971243418388,2025,17
