calc_type,composite_index,composite_rank,date,district_name,district_id,div_map_id,division,domain_name,domain_index,domain_rank,indicator_name,indicator_id,indicator_ids,indicator_index,indicator_rank,map_id,perc_point,quarter,type_name,type_index,type_rank,value,year,district_id_num
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,family_planning,0.4051505183185086,10.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.15027922367353627,38.0,147,3.2524116024116814,4,coverage,5.904989034201603,7.0,3.2524116024116814,2025,27
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,family_planning,0.4051505183185086,10.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.660021812963481,4.0,147,53.578044173161935,4,coverage,5.904989034201603,7.0,53.578044173161935,2025,27
p,0.5507175913602529,54.0,2025-01-01,Firozabad,eJTsuE56XDF,146,Agra Division,finance,0.7842273491131778,14.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.7842273491131778,14.0,147,6746.617466174661,4,coverage,5.904989034201603,7.0,6746.617466174661,2025,27
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,148,100.0,4,coverage,5.1453827923729545,47.0,100.0,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,delivery_care,0.41220936806849867,65.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.32447047720126193,47.0,148,64.48480344401588,4,coverage,5.1453827923729545,47.0,64.48480344401588,2025,43
n,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,delivery_care,0.41220936806849867,65.0,Still birth ratio,4,indicator_4,0.5932970237082437,53.0,148,7.4895578280282304,4,quality,1.1158163098575944,56.0,7.4895578280282304,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,delivery_care,0.41220936806849867,65.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.15943030164799527,50.0,148,0.9212730318257956,4,quality,1.1158163098575944,56.0,7.383008550050657,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,delivery_care,0.41220936806849867,65.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.15943030164799527,50.0,148,22.460391425908664,4,quality,1.1158163098575944,56.0,7.383008550050657,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,148,100.0,4,coverage,5.1453827923729545,47.0,100.0,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,immunization,0.6216443463521029,36.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,0.8801997082028501,20.0,148,96.57988653502122,4,coverage,5.1453827923729545,47.0,96.57988653502122,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,immunization,0.6216443463521029,36.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.3630889845013555,25.0,148,1.090090855056466,4,quality,1.1158163098575944,56.0,1.090090855056466,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,communicable_diseases,0.5,1.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,1.0,1.0,148,100.0,4,coverage,5.1453827923729545,47.0,100.0,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,family_planning,0.14039958429830338,55.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.05542402448177074,71.0,148,1.4330433692973361,4,coverage,5.1453827923729545,47.0,1.4330433692973361,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,family_planning,0.14039958429830338,55.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.22537514411483606,32.0,148,24.196141155380353,4,coverage,5.1453827923729545,47.0,24.196141155380353,2025,43
p,0.5831213552246322,22.0,2025-01-01,Mainpuri,XBLhrSWGytu,146,Agra Division,finance,0.6599134383722354,34.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.6599134383722354,34.0,148,6010.554089709762,4,coverage,5.1453827923729545,47.0,6010.554089709762,2025,43
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,145,100.0,4,coverage,5.5852692896737945,18.0,100.0,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,delivery_care,0.6227853491879896,27.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.6415604516984913,10.0,145,81.15544830872042,4,coverage,5.5852692896737945,18.0,81.15544830872042,2025,24
n,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,delivery_care,0.6227853491879896,27.0,Still birth ratio,4,indicator_4,0.9298256059711776,11.0,145,1.478269439243126,4,quality,1.6411101320491617,9.0,1.478269439243126,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,delivery_care,0.6227853491879896,27.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.14848499494714995,57.0,145,3.25166017861232,4,quality,1.6411101320491617,9.0,6.993300228190021,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,delivery_care,0.6227853491879896,27.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.14848499494714995,57.0,145,15.72379367720466,4,quality,1.6411101320491617,9.0,6.993300228190021,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,post_natal_care,1.0,1.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,1.0,1.0,145,100.0,4,coverage,5.5852692896737945,18.0,100.0,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,immunization,0.7813997655654171,6.0,"% of children received full immunization (BCG, Penta 1, 2, 3, Measles)",7,indicator_7,1.0,1.0,145,100.0,4,coverage,5.5852692896737945,18.0,100.0,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,immunization,0.7813997655654171,6.0,Ratio of Pentavalent 3 to BCG,6,indicator_6,0.5627995311308343,10.0,145,1.2320425116051796,4,quality,1.6411101320491617,9.0,1.2320425116051796,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,communicable_diseases,0.3372273185813378,4.0,% of PW screened for HIV against estimated pregnancy,11,indicator_11,0.6744546371626756,4.0,145,92.59720623768364,4,coverage,5.5852692896737945,18.0,92.59720623768364,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,family_planning,0.2673709279556303,23.0,Permanent Method accepted per 1000 EC,8,indicator_8,0.371543396242615,14.0,145,7.4963645973831925,4,coverage,5.5852692896737945,18.0,7.4963645973831925,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,family_planning,0.2673709279556303,23.0,Reversible Method accepted per 1000 EC,9,indicator_9,0.16319845966864555,54.0,145,19.99302758452416,4,coverage,5.5852692896737945,18.0,19.99302758452416,2025,24
p,0.6088786985119655,12.0,2025-01-01,Mathura,KP2BUB1npih,146,Agra Division,finance,0.7345123449013676,22.0,Per ASHA expenditure of ASHA incentive fund,12,indicator_12,0.7345123449013676,22.0,145,6452.254641909814,4,coverage,5.5852692896737945,18.0,6452.254641909814,2025,24
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,ante_natal,1.0,1.0,% of pregnant women received 4 or more ANC and tested for Hb against estimated PW,1,indicator_1,1.0,1.0,172,100.0,4,coverage,4.560022067138809,72.0,100.0,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,delivery_care,0.3975547434800569,67.0,% of pregnant women delivered in institution against estimated delivery,2,indicator_2,0.4064312661686692,38.0,172,68.7937987311519,4,coverage,4.560022067138809,72.0,68.7937987311519,2025,16
n,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,delivery_care,0.3975547434800569,67.0,Still birth ratio,4,indicator_4,0.5491761458054394,58.0,172,8.27767311754296,4,quality,0.921490486378423,68.0,8.27767311754296,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,delivery_care,0.3975547434800569,67.0,% of C-section delivery against reported delivery (70% weightage to CHC),31,indicator_31,0.11852840923303125,61.0,172,0.7851239669421488,4,quality,0.921490486378423,68.0,5.926694141544509,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,delivery_care,0.3975547434800569,67.0,% of C-section delivery against reported delivery (30% to DH),32,indicator_32,0.11852840923303125,61.0,172,17.923691215616678,4,quality,0.921490486378423,68.0,5.926694141544509,2025,16
p,0.5253538404959708,61.0,2025-01-01,Fatehpur,ibLiLcaKzw2,172,Prayagraj Division,post_natal_care,0.47647289432723,26.0,% of newborns received HBNC visits (Institutional Delivery and Home Delivery),5,indicator_5,0.47647289432723,26.0,172,72.08426100359651,4,coverage,4.560022067138809,72.0,72.08426100359651,2025,16
