calc_type,date,district,district_id,div_map_id,division,indicator_id,map_id,quarter,sub_id,subindicator_id,value,year
p,2023-01-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,indicator_35,168,4,35a,dwGorjVGkD9,32.8,2023
p,2023-01-01,Hamirpur,VSI7HobT5qL,170,Chitrakoot Division,indicator_37,168,4,37a,m7ggqyMXhyL,89.1,2023
p,2023-01-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,indicator_36,193,4,36a,ixBYYYjxXPP,795.0,2023
p,2023-01-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,indicator_36,193,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2698.0,2023
p,2023-01-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,indicator_35,193,4,35a,dwGorjVGkD9,30.3,2023
p,2023-01-01,Ballia,oNDvGBE5fLq,193,Azamgarh Division,indicator_37,193,4,37a,m7ggqyMXhyL,85.9,2023
p,2023-01-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,indicator_36,171,4,36a,ixBYYYjxXPP,1101.0,2023
p,2023-01-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,indicator_36,171,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1521.0,2023
p,2023-01-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,indicator_35,171,4,35a,dwGorjVGkD9,32.7,2023
p,2023-01-01,Chitrakoot,i2fSZZ3QAJJ,170,Chitrakoot Division,indicator_37,171,4,37a,m7ggqyMXhyL,90.6,2023
p,2023-01-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,indicator_36,203,4,36a,ixBYYYjxXPP,774.0,2023
p,2023-01-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,indicator_36,203,4,36b,aRueVYr35yM.Ti9FJqkSK6J,1160.0,2023
p,2023-01-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,indicator_35,203,4,35a,dwGorjVGkD9,39.5,2023
p,2023-01-01,Shamli,AdiUcz9BXhx,132,Saharanpur Division,indicator_37,203,4,37a,m7ggqyMXhyL,81.6,2023
p,2023-01-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,indicator_36,181,4,36a,ixBYYYjxXPP,559.0,2023
p,2023-01-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,indicator_36,181,4,36b,aRueVYr35yM.Ti9FJqkSK6J,2565.0,2023
p,2023-01-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,indicator_35,181,4,35a,dwGorjVGkD9,29.3,2023
p,2023-01-01,Shrawasti,oyTwneTbWDx,182,Gonda Division,indicator_37,181,4,37a,m7ggqyMXhyL,90.4,2023
p,2023-01-01,Banda,DggJGxqbWHn,170,Chitrakoot Division,indicator_36,170,4,36a,ixBYYYjxXPP,2061.0,2023
